code,term
0601022B0,Metformin hydrochloride
0601022B0AA,Metformin hydrochloride
0601022B0AAABAB,Metformin 500mg tablets
0601022B0AAADAD,Metformin 850mg tablets
0601022B0AAAIAI,Metformin 500mg/5ml oral liquid
0601022B0AAAJAJ,Metformin 850mg/5ml oral liquid
0601022B0AAAKAK,Metformin 250mg/5ml oral liquid
0601022B0AAALAL,Metformin 425mg/5ml oral liquid
0601022B0AAAMAM,Metformin 1g/5ml oral solution
0601022B0AAANAN,Metformin 5mg/5ml oral solution
0601022B0AAAQAQ,Metformin 850mg capsules
0601022B0AAARAR,Metformin 500mg/5ml oral solution sugar free
0601022B0AAASAS,Metformin 500mg modified-release tablets
0601022B0AAATAT,Metformin 750mg modified-release tablets
0601022B0AAAVAV,Metformin 1g modified-release tablets
0601022B0AAAWAW,Metformin 500mg oral powder sachets sugar free
0601022B0AAAXAX,Metformin 1g oral powder sachets sugar free
0601022B0AAAYAY,Metformin 1g/5ml oral solution sugar free
0601022B0AAAZAZ,Metformin 850mg/5ml oral solution sugar free
0601022B0AABABA,Metformin 1g tablets
0601022B0BB,Glucophage
0601022B0BBAAAB,Glucophage 500mg tablets
0601022B0BBABAD,Glucophage 850mg tablets
0601022B0BBACAS,Glucophage SR 500mg tablets
0601022B0BBADAT,Glucophage SR 750mg tablets
0601022B0BBAEAV,Glucophage SR 1000mg tablets
0601022B0BBAFAW,Glucophage 500mg oral powder sachets
0601022B0BBAGAX,Glucophage 1000mg oral powder sachets
0601022B0BD,Glyformin
0601022B0BDAAAB,Glyformin 500mg tablets
0601022B0BH,Metsol
0601022B0BHAAAR,Metsol 500mg/5ml oral solution
0601022B0BI,Bolamyn
0601022B0BIAAAS,Bolamyn SR 500mg tablets
0601022B0BIABAV,Bolamyn SR 1000mg tablets
0601022B0BJ,Metabet
0601022B0BJAAAS,Metabet SR 500mg tablets (Morningside)
0601022B0BJABAV,Metabet SR 1000mg tablets (Morningside)
0601022B0BJACAV,Metabet SR 1000mg tablets (Actavis)
0601022B0BJADAS,Metabet SR 500mg tablets (Actavis)
0601022B0BK,Glucient SR
0601022B0BKAAAS,Glucient SR 500mg tablets
0601022B0BKABAT,Glucient SR 750mg tablets
0601022B0BKACAV,Glucient SR 1000mg tablets
0601022B0BL,Diagemet XL
0601022B0BLAAAS,Diagemet XL 500mg tablets
0601022B0BM,Sukkarto SR
0601022B0BMAAAV,Sukkarto SR 1000mg tablets
0601022B0BMABAS,Sukkarto SR 500mg tablets
0601022B0BMACAT,Sukkarto SR 750mg tablets
0601022B0BN,Meijumet
0601022B0BNAAAS,Meijumet 500mg modified-release tablets
0601022B0BNABAT,Meijumet 750mg modified-release tablets
0601022B0BNACAV,Meijumet 1000mg modified-release tablets
0601022B0BP,Yaltormin
0601022B0BPAAAS,Yaltormin SR 500mg tablets
0601022B0BPABAT,Yaltormin SR 750mg tablets
0601022B0BPACAV,Yaltormin SR 1000mg tablets
0601022B0BQ,Metuxtan SR
0601022B0BQAAAS,Metuxtan SR 500mg tablets
0601022B0BR,Glucorex
0601022B0BRAAAS,Glucorex SR 500mg tablets
0601022B0BS,Axpinet
0601022B0BSAAAB,Axpinet 500mg tablets
0601022B0BSABAD,Axpinet 850mg tablets
0601022B0BT,Jesacrin
0601022B0BTAAAT,Jesacrin 750mg modified-release tablets
0601022B0BTABAV,Jesacrin 1000mg modified-release tablets
