code,term
0601011A0,Insulin aspart
0601011A0AA,Insulin aspart
0601011A0AAAAAA,Insulin aspart 100units/ml solution for injection 10ml vials
0601011A0AAABAB,Insulin aspart 100units/ml inj 3ml cartridges
0601011A0AAACAC,Insulin aspart 100units/ml inj 3ml pf dispos dev
0601011A0AAADAD,Insulin aspart 100units/ml inj 1.6ml cartridges
0601011A0BB,Insulin NovoRapid
0601011A0BBAAAA,NovoRapid 100units/ml solution for injection 10ml vials
0601011A0BBABAB,NovoRapid Penfill 100units/ml inj 3ml cartridges
0601011A0BBACAC,NovoRapid Novolet 100units/ml solution for injection
0601011A0BBADAC,NovoRapid FlexPen 100units/ml inj 3ml pre-filled pens
0601011A0BBAEAC,NovoRapid FlexTouch 100units/ml inj 3ml pre-filled pens
0601011A0BBAFAD,NovoRapid PumpCart 100units/ml inj 1.6ml cartridges
0601011A0BC,Insulin Fiasp
0601011A0BCAAAC,Fiasp FlexTouch 100units/ml inj 3ml pre-filled pens
0601011A0BCABAB,Fiasp Penfill 100units/ml inj 3ml cartridges
0601011A0BCACAA,Fiasp 100units/ml solution for injection 10ml vials
0601011A0BD,Insulin Trurapi
0601011A0BDAAAB,Trurapi 100units/ml solution for injection 3ml cartridges
0601011A0BDABAC,Trurapi 100units/ml inj 3ml pre-filled Solostar pens
0601011A0BDACAA,Trurapi 100units/ml solution for injection 10ml vial
0601011L0,Insulin Lispro
0601011L0AA,Insulin Lispro
0601011L0AAAAAA,Insulin lispro 100units/ml inj 1.5ml cartridges
0601011L0AAABAB,Insulin lispro 100units/ml solution for injection 10ml vials
0601011L0AAACAC,Insulin lispro 100units/ml inj 3ml cartridges
0601011L0AAAFAF,Insulin lispro 100units/ml inj 3ml pf dispos dev
0601011L0AAAGAG,Insulin lispro 200units/ml inj 3ml pf dispos dev
0601011L0BB,Insulin Humalog
0601011L0BBAAAA,Humalog 100units/ml solution for injection 1.5ml cartridges
0601011L0BBABAB,Humalog 100units/ml solution for injection 10ml vials
0601011L0BBACAC,Humalog 100units/ml solution for injection 3ml cartridges
0601011L0BBAFAF,Humalog Pen 100units/ml inj 3ml pre-filled pens
0601011L0BBAGAF,Humalog KwikPen 100units/ml inj 3ml pre-filled pens
0601011L0BBAHAG,Humalog KwikPen 200units/ml inj 3ml pre-filled pens
0601011L0BBAIAF,Humalog Junior KwikPen 100units/ml inj 3ml pre-filled pens
0601011L0BBAJAF,Humalog Tempo Pen 100units/ml inj 3ml pre-filled pens
0601011L0BC,Insulin Lispro (Sanofi)
0601011L0BCAAAB,Insulin lispro Sanofi 100units/ml inj 10ml vials
0601011L0BCABAC,Insulin lispro Sanofi 100units/ml inj 3ml cartridges
0601011L0BCACAF,Insulin lispro Sanofi 100units/ml inj 3ml pre-filled pens
0601011L0BD,Insulin Lyumjev
0601011L0BDAAAG,Lyumjev KwikPen 200units/ml inj 3ml pre-filled pens
0601011L0BDABAB,Lyumjev 100units/ml solution for injection 10ml vials
0601011L0BDACAC,Lyumjev 100units/ml solution for injection 3ml cartridges
0601011L0BDADAF,Lyumjev KwikPen 100units/ml inj 3ml pre-filled pens
0601011L0BDAEAF,Lyumjev Junior KwikPen 100units/ml inj 3ml pre-filled pens
0601011L0BDAFAF,Lyumjev Tempo Pen 100units/ml inj 3ml pre-filled pens
0601011L0BE,Insulin Admelog
0601011L0BEAAAC,Admelog 100units/ml solution for injection 3ml cartridges
0601011L0BEABAB,Admelog 100units/ml solution for injection 10ml vials
0601011L0BEACAF,Admelog 100units/ml inj 3ml pre-filled pens
0601011N0,Soluble insulin (Neutral insulin)
0601011N0AA,Insulin soluble
0601011N0AAAAAA,Insulin soluble bovine 100units/ml inj 10ml vials
0601011N0AAACAC,Insulin soluble porcine 100units/ml inj 10ml vials
0601011N0AAADAD,Insulin soluble human 100units/ml inj 1.5ml cartridges
0601011N0AAALAL,Insulin soluble human 100units/ml inj 10ml vials
0601011N0AAAMAM,Insulin soluble human 100units/ml inj 3ml pf dispos dev
0601011N0AAAPAP,Insulin soluble human 100units/ml inj 3ml cartridges
0601011N0AAATAT,Insulin soluble bovine 100units/ml inj 1.5ml cartridges
0601011N0AAAUAU,Insulin soluble porcine 100units/ml inj 1.5ml cartridges
0601011N0AAAWAW,Insulin soluble human 100units/ml inj 5ml vials
0601011N0AAAYAY,Insulin soluble bovine 100units/ml inj 3ml cartridges
0601011N0AAAZAZ,Insulin soluble porcine 100units/ml inj 3ml cartridges
0601011N0BC,Insulin soluble (CP Pharm)
0601011N0BCAAAA,Hypurin Bovine Neutral 100units/ml inj 10ml vials
0601011N0BCADAT,Hypurin Bovine Neutral 100units/ml inj 1.5ml cartridges
0601011N0BCAEAC,Hypurin Porcine Neutral 100units/ml inj 10ml vials
0601011N0BCAFAU,Hypurin Porcine Neutral 100units/ml inj 1.5ml cartridges
0601011N0BCAGAY,Hypurin Bovine Neutral 100units/ml inj 3ml cartridges
0601011N0BCAHAZ,Hypurin Porcine Neutral 100units/ml inj 3ml cartridges
0601011N0BF,Insulin soluble (Novo-Nordisk)
0601011N0BFACAL,Velosulin 100units/ml solution for injection 10ml vials
0601011N0BFAEAL,Actrapid 100units/ml solution for injection 10ml vials
0601011N0BFAJAD,Human Actrapid Penfill 100units/ml inj 1.5ml cartridges
0601011N0BFAPAM,Actrapid NovoLet 100units/ml solution for injection
0601011N0BFAQAP,Actrapid Penfill 100units/ml inj 3ml cartridges
0601011N0BFASAC,Pork Actrapid 100units/ml solution for injection 10ml vials
0601011N0BH,Insulin Humulin S (Soluble)
0601011N0BHAAAL,Humulin S 100units/ml solution for injection 10ml vials
0601011N0BHACAM,HumaJect S Pen 100units/ml solution for injection
0601011N0BHADAP,Humulin S 100units/ml solution for injection 3ml cartridges
0601011N0BK,Insulin soluble (Aventis Pharma)
0601011N0BKAAAW,Insuman Rapid 100units/ml solution for injection 5ml vials
0601011N0BKABAP,Insuman Rapid 100units/ml inj 3ml cartridges
0601011N0BKACAM,Insuman Rapid 100units/ml inj 3ml pre-filled OptiSet pens
0601011P0,Insulin glulisine
0601011P0AA,Insulin glulisine
0601011P0AAAAAA,Insulin glulisine 100units/ml inj 10ml vials
0601011P0AAABAB,Insulin glulisine 100units/ml inj 3ml cartridges
0601011P0AAACAC,Insulin glulisine 100units/ml inj 3ml pf dispos dev
0601011P0BB,Insulin Apidra
0601011P0BBAAAA,Apidra 100units/ml solution for injection 10ml vials
0601011P0BBABAB,Apidra 100units/ml solution for injection 3ml cartridges
0601011P0BBACAC,Apidra 100units/ml inj 3ml pre-filled OptiSet pens
0601011P0BBADAB,Apidra 100units/ml inj 3ml OptiClik cartridges
0601011P0BBAEAC,Apidra 100units/ml inj 3ml pre-filled SoloStar pens
0601012AB,Insulin glargine/lixisenatide
0601012ABAA,Insulin glargine/lixisenatide
0601012ABAAAAAA,Ins glargine 100u/ml / Lixis 33mcg/ml inj 3ml pf dispos dev
0601012ABAAABAB,Ins glargine 100u/ml / Lixis 50mcg/ml inj 3ml pf dispos dev
0601012ABBB,Suliqua
0601012ABBBAAAA,Suliqua 100units/ml / 33microg/ml inj 3ml pf SoloStar pens
0601012ABBBABAB,Suliqua 100units/ml / 50microg/ml inj 3ml pf SoloStar pens
0601012D0,Biphasic isophane insulin
