code,term
1010405004,Paroxysmal atrial fibrillation with rapid ventricular response
10164001,Parasystole
102451000119107,Complete atrioventricular block as complication of atrioventricular nodal ablation
10626002,Multifocal premature ventricular complexes
10701000087104,Arrhythmia during surgery
10743741000119103,Cardiac arrhythmia in mother complicating childbirth
10745231000119102,Cardiac arrest due to administration of anesthesia for obstetric procedure in pregnancy
10750641000119101,Cardiac arrest due to failed attempted abortion
10760181000119109,Cardiac arrest due to miscarriage
10811961000119109,Cardiac arrest due to incomplete miscarriage
11157007,Ventricular bigeminy
1142040009,Right atrial non-cavotricuspid isthmus dependent macro re-entrant atrial tachycardia
1142041008,Non-scar mediated right atrial non-cavotricuspid isthmus dependent macro re-entrant atrial tachycardia
1142057008,Anticlockwise cavotricuspid isthmus dependent macroreentry tachycardia
1142064005,Antidromic atrioventricular reciprocating tachycardia utilizing atrio-ventricular accessory pathway with antegrade unidirectional conduction
1142066007,Antidromic atrioventricular reciprocating tachycardia utilizing atrio-fascicular accessory pathway with antegrade unidirectional conduction
1142067003,Non scar mediated left atrial non-cavotricuspid isthmus dependent macro re-entrant atrial tachycardia
1142068008,Antidromic atrioventricular reciprocating tachycardia utilizing accessory pathway with antegrade unidirectional conduction
1142069000,Scar mediated left atrial non-cavotricuspid isthmus dependent macro re-entrant atrial tachycardia
1142082008,Idiopathic junctional ectopic tachycardia
1142086006,Congenital junctional ectopic tachycardia
1142090008,Clockwise cavotricuspid isthmus dependent macroreentry tachycardia
1142093005,Left atrial non-cavotricuspid isthmus dependent macro re-entrant atrial tachycardia
1142098001,Junctional ectopic tachycardia following surgical procedure on heart
1142103004,Antidromic atrioventricular reciprocating tachycardia utilizing nodo-fascicular accessory pathway with antegrade unidirectional conduction
1142105006,Typical atrioventricular nodal re-entry tachycardia
1142110005,Sinus bradycardia caused by drug
1142111009,Sinus bradycardia due to metabolic disease
1142114001,Scar mediated right atrial non-cavotricuspid isthmus dependent macro re-entrant atrial tachycardia
1142117008,Atypical slow slow atrioventricular nodal re-entry tachycardia
1142118003,Atypical atrioventricular nodal re-entry tachycardia
1142119006,Atypical fast slow atrioventricular nodal re-entry tachycardia
1142120000,Orthodromic atrioventricular reciprocating tachycardia utilizing manifest accessory pathway
1142121001,Atrioventricular nodal reentry tachycardia with twin atrioventricular nodes
1142122008,Antidromic atrioventricular reciprocating tachycardia utilizing accessory pathway with bidirectional conduction
1142123003,Atrial premature depolarization with aberrant ventricular conduction
1142124009,Atrial premature depolarization with normal conduction
1142204001,Orthodromic atrioventricular reciprocating tachycardia utilizing concealed accessory pathway
1149361009,Cardiac arrest due to procedure
1149362002,Cardiac arrest during procedure
1156821008,Autosomal recessive sick sinus syndrome
1172698005,"Recurrent metabolic encephalomyopathic crises, rhabdomyolysis, cardiac arrhythmia, intellectual disability syndrome"
