code,term
101281000119107,Congestive heart failure due to cardiomyopathy
10633002,Acute congestive heart failure
15629541000119106,Congestive heart failure stage C due to ischemic cardiomyopathy
15629591000119103,Congestive heart failure stage B due to ischemic cardiomyopathy
15781000119107,Hypertensive heart AND chronic kidney disease with congestive heart failure
16838951000119100,Acute on chronic right-sided congestive heart failure
194767001,Benign hypertensive heart disease with congestive cardiac failure
194779001,Hypertensive heart and renal disease with (congestive) heart failure
194781004,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
195108009,Heart failure: [right] or [congestive]
195109001,Acute congestive heart failure
195110006,Chronic congestive heart failure
23341000119109,Congestive heart failure with right heart failure
325431000000103,Congestive heart failure due to valvular disease
42343007,Congestive heart failure
426263006,Congestive heart failure due to left ventricular systolic dysfunction
426611007,Congestive heart failure due to valvular disease
43736008,Rheumatic left ventricular failure
5148006,Hypertensive heart disease with congestive heart failure
5375005,Chronic left-sided congestive heart failure
66989003,Chronic right-sided congestive heart failure
67431000119105,Congestive heart failure stage D
67441000119101,Congestive heart failure stage C
698296002,Acute exacerbation of chronic congestive heart failure
698594003,Symptomatic congestive heart failure
717840005,Congestive heart failure stage B
72481000119103,Congestive heart failure as early postoperative complication
74960003,Acute left-sided congestive heart failure
77737007,Benign hypertensive heart disease with congestive heart failure
80479009,Acute right-sided congestive heart failure
82523003,Congestive rheumatic heart failure
83105008,Malignant hypertensive heart disease with congestive heart failure
88805009,Chronic congestive heart failure
92506005,Biventricular congestive heart failure
96311000119109,Exacerbation of congestive heart failure
