code,term
11018701000119109,Coronary arteriosclerosis after percutaneous coronary angioplasty
1269257006,Arteriosclerosis of nonautologous biological coronary artery bypass graft
139011000119104,Coronary arteriosclerosis following coronary artery bypass graft
15960061000119102,Unstable angina co-occurrent and due to coronary arteriosclerosis
15960141000119102,Angina co-occurrent and due to coronary arteriosclerosis
15960381000119109,Angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft
15960581000119102,Angina co-occurrent and due to arteriosclerosis of autologous vein coronary artery bypass graft
15960661000119107,Unstable angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft
16891151000119103,Coronary artery disease due to type 2 diabetes mellitus
16891191000119108,Coronary artery disease due to type 1 diabetes mellitus
194841001,Coronary (atherosclerosis or artery disease) or triple vessel disease of the heart
194842008,Single coronary vessel disease
194843003,Double coronary vessel disease
233817007,Triple vessel disease of the heart
233844002,Accelerated coronary artery disease in transplanted heart
240567009,Syphilitic coronary artery disease
285141000119106,Arteriosclerosis of autologous arterial coronary artery bypass graft
285151000119108,Arteriosclerosis of autologous coronary artery bypass graft
304915008,Duke's coronary artery disease score
315348000,Asymptomatic coronary heart disease
371803003,Multi vessel coronary artery disease
371804009,Left main coronary artery disease
371805005,Significant coronary bypass graft disease
373144005,Single vessel coronary artery disease
373145006,Double vessel coronary artery disease
373146007,Triple vessel coronary artery disease
41702007,Coronary atherosclerosis
420006002,Obliterative coronary artery disease
427919004,Coronary arteriosclerosis caused by radiation
42866003,Congenital coronary artery sclerosis
429245005,Recurrent coronary arteriosclerosis after percutaneous transluminal coronary angioplasty
429673002,Arteriosclerosis of coronary artery bypass graft
442224005,Arteriosclerosis of autologous vein coronary artery bypass graft
442240008,Arteriosclerosis of nonautologous coronary artery bypass graft
442421004,Arteriosclerosis of arterial coronary artery bypass graft
443502000,Atherosclerosis of coronary artery
444855007,Arteriosclerosis of coronary artery bypass graft of transplanted heart
444856008,Arteriosclerosis of internal mammary artery coronary artery bypass graft
53741008,Coronary arteriosclerosis
719678003,Non-obstructive atherosclerosis of coronary artery
723862008,Atherosclerosis of non-autologous coronary artery bypass graft
724431008,Atherosclerosis of autologous coronary artery bypass graft
810681000000101,Coronary microvascular disease
8957000,Coronary artery disease
92517006,Calcific coronary arteriosclerosis
