code,term
10295004,Chronic viral hepatitis
10759111000119102,Viral hepatitis in mother complicating childbirth
10759151000119101,Viral hepatitis in mother complicating pregnancy
1087101000119109,Herpes simplex hepatitis
1116000,Chronic aggressive type B viral hepatitis
111879004,Viral hepatitis A without hepatic coma
111891008,Viral hepatitis B without hepatic coma
111893006,Other specified viral hepatitis
111894000,Other specified viral hepatitis without mention of hepatic coma
111895004,Other specified viral hepatitis with hepatic coma
111896003,Viral hepatitis without hepatic coma
1197150002,Recurrent hepatitis C virus induced liver disease following liver transplant
1230342001,Hepatitis B reinfection following transplantation of liver
123324009,"Viral hepatitis, non-A, non-B"
128302006,Chronic hepatitis C
13265006,Acute fulminating type B viral hepatitis
154346007,Viral hepatitis
16428002,Chronic persistent type A viral hepatitis
16623921000119105,Viral hepatitis C in mother during pregnancy
16859701000119109,Chronic hepatitis B during pregnancy
186621007,Viral hepatitis A with coma
186623005,Viral hepatitis B with coma
186626002,Acute hepatitis B with delta-agent (coinfection) without hepatic coma
186627006,Other specified viral hepatitis with coma
186629009,Other specified viral hepatitis with hepatic coma NOS
186630004,Other specified viral hepatitis without coma
186631000,Viral hepatitis C without mention of hepatic coma
186635009,Other specified viral hepatitis without mention of hepatic coma NOS
186636005,Unspecified viral hepatitis with coma
186637001,Chronic viral hepatitis
186638006,Chronic viral hepatitis B with hepatitis D
186639003,Chronic viral hepatitis B without delta-agent
186640001,Chronic viral hepatitis C
186641002,"[X]Chronic viral hepatitis, unspecified"
186642009,Unspecified viral hepatitis
186698009,Cytomegalovirus hepatitis
187432005,Viral hepatitis
187433000,[X]Other specified acute viral hepatitis
187434006,[X]Other chronic viral hepatitis
187435007,"[X]Chronic viral hepatitis, unspecified"
187436008,[X]Unspecified viral hepatitis with coma
187437004,[X]Unspecified viral hepatitis without coma
18917003,Acute fulminating type A viral hepatitis
197339003,Coxsackie virus hepatitis
197342009,Hepatitis in yellow fever
197344005,Hepatitis caused by adenovirus
199203001,"Viral hepatitis complicating pregnancy, childbirth and the puerperium"
206372007,Congenital viral hepatitis
206374008,Other specified congenital viral hepatitis
206375009,Congenital viral hepatitis NOS
235864009,Acute hepatitis B with hepatitis D
235865005,Hepatitis D superinfection of hepatitis B carrier
235866006,Acute hepatitis C
235867002,Acute hepatitis E
235869004,Chronic viral hepatitis B with hepatitis D
25102003,Acute type A viral hepatitis
2563008,Chronic type A viral hepatitis
28766006,Posttransfusion viral hepatitis
29062009,Relapsing type B viral hepatitis
302919001,Epstein-Barr virus hepatitis
321381000000106,Viral hepatitis E
347891000119103,Chronic hepatitis C with stage 3 fibrosis
36155008,Hepatitis in coxsackie viral disease
3738000,Viral hepatitis
38662009,Chronic persistent type B viral hepatitis
397575003,"Viral hepatitis, type G"
40468003,"Viral hepatitis, type A"
419531000000100,[X]Other chronic viral hepatitis
419541000000109,"[X]Chronic viral hepatitis, unspecified"
424460009,Hepatitis B with hepatitis D superinfection
424758008,"Viral hepatitis A without hepatic coma, without hepatitis delta"
432261000000109,"[X]Chronic viral hepatitis, unspecified"
43634002,Relapsing type A viral hepatitis
442134007,Hepatitis B associated with Human immunodeficiency virus infection
442374005,Hepatitis B and hepatitis C
444071000000104,[X]Unspecified viral hepatitis with coma
446698005,Reactivation of hepatitis B viral hepatitis
45042004,Acute fulminating viral hepatitis
450880008,Chronic hepatitis E
468921000000104,[X]Unspecified viral hepatitis without coma
471491000000105,[X]Other specified acute viral hepatitis
4846001,Anicteric viral hepatitis
50167007,Chronic active type B viral hepatitis
50711007,Viral hepatitis type C
530081000000102,Viral hepatitis C without mention of hepatic coma
53425008,Anicteric type B viral hepatitis
561641000000100,Other specified viral hepatitis without mention of hepatic coma NOS
561651000000102,Unspecified viral hepatitis with coma
561661000000104,Unspecified viral hepatitis
57412004,Acute viral hepatitis
58282009,Relapsing viral hepatitis
598611000000108,Congenital viral hepatitis NOS
599401000000102,Other specified congenital viral hepatitis
60037002,Chronic persistent viral hepatitis
601981000000105,Other specified viral hepatitis with hepatic coma NOS
601991000000107,Other specified viral hepatitis without coma
60498001,Congenital viral hepatitis B infection
61977001,Chronic type B viral hepatitis
653331000000103,Other specified viral hepatitis with coma
66071002,Viral hepatitis type B
66870002,Chronic active viral hepatitis
702969000,Reactivation of hepatitis C viral hepatitis
703866000,Chronic hepatitis C with stage 2 fibrosis
707341005,Viral hepatitis type D
70766007,Chronic aggressive type A viral hepatitis
708198006,Chronic active hepatitis C
7111000119109,Viral hepatitis type E
713966008,Occult chronic type B viral hepatitis
721588008,Hepatitis caused by sexually transmissible virus
722864002,Acute hepatic failure caused by hepatitis virus
722865001,Subacute hepatic failure caused by hepatitis virus
735451005,Chronic infection caused by Hepatitis D virus
75802002,Chronic active type A viral hepatitis
767809001,Chronic hepatitis C caused by hepatitis C virus genotype 6
767810006,Chronic hepatitis C caused by hepatitis C virus genotype 5
76795007,Acute type B viral hepatitis
768006009,Chronic hepatitis C caused by Hepatitis C virus genotype 3
768125005,Chronic hepatitis C caused by Hepatitis C virus genotype 2
768126006,Chronic hepatitis C caused by Hepatitis C virus genotype 4
768127002,Chronic hepatitis C caused by Hepatitis C virus genotype 1
768288001,Chronic hepatitis C caused by Hepatitis C virus genotype 1b
768289009,Chronic hepatitis C caused by Hepatitis C virus genotype 1a
79031007,Anicteric type A viral hepatitis
812271000000102,Viral hepatitis with hepatic coma
812281000000100,Viral hepatitis without hepatic coma
824841000000105,Hepatitis C genotype 1
824851000000108,Hepatitis C genotype 2
824871000000104,Hepatitis C genotype 3
824881000000102,Hepatitis C genotype 4
824891000000100,Hepatitis C genotype 5
824901000000104,Hepatitis C genotype 6
832431000000109,Acute viral hepatitis
838377003,Chronic hepatitis C co-occurrent with human immunodeficiency virus infection
838380002,Chronic hepatitis B co-occurrent with hepatitis C and hepatitis D
875211000000105,Chronic viral hepatitis B
89231008,Mumps hepatitis
89789003,Chronic aggressive viral hepatitis
