code,term
114831000119107,Hyperlipidemia caused by steroid
1197489003,Familial chylomicronemia syndrome
1208738002,Transmembrane protein 199 congenital disorder of glycosylation
129589009,Endogenous hyperlipidemia
129590000,Exogenous hyperlipidemia
129591001,Mixed hypercholesterolemia and hypertriglyceridemia
13644009,Hypercholesterolemia
137931000119102,Hyperlipidemia due to type 2 diabetes mellitus
137941000119106,Hyperlipidemia due to type 1 diabetes mellitus
154742006,Mixed hyperlipidaemia
154743001,Hyperlipidaemia NOS
1571000119104,Mixed hyperlipidemia due to type 1 diabetes mellitus
15771000119109,Familial hyperalphalipoproteinemia
190774002,"Hyperlipidemia, group A"
190782002,Hyperlipidemia NOS
191107008,[X]Other hyperlipidemia
238040008,Familial combined hyperlipidemia
238076009,Primary hypercholesterolemia
238077000,Polygenic hypercholesterolemia
238078005,Familial hypercholesterolemia - homozygous
238079002,Familial hypercholesterolemia - heterozygous
238080004,Hyperalphalipoproteinemia
238081000,Familial defective apolipoprotein B-100
238082007,Secondary hypercholesterolemia
238083002,Primary hypertriglyceridemia
238084008,Very low density lipoprotinemia
238085009,Fredrickson type IV hyperlipoproteinemia
238087001,Secondary hypertriglyceridemia
238088006,Primary combined hyperlipidemia
238089003,Secondary combined hyperlipidemia
267432004,Pure hypercholesterolemia
267433009,Pure hyperglyceridemia
267434003,Mixed hyperlipidemia
267435002,Familial hyperchylomicronemia
275598004,Familial lipoprotein lipase deficiency
299465007,Familial multiple lipoprotein-type hyperlipidemia
302870006,Hypertriglyceridemia
33513003,Familial apolipoprotein C-II deficiency
34349009,Familial type 5 hyperlipoproteinemia
34528009,Familial hypertriglyceridemia
390441000000105,[X]Other hyperlipidaemia
397915002,Fredrickson type IIa hyperlipoproteinemia
398036000,Familial hypercholesterolemia
402473001,Sporadic primary hypertriglyceridemia
402474007,Primary polygenic type IIb combined hyperlipidemia
402475008,Primary acquired chylomicronemia
402725005,Hyperlipidemia with lipid deposition in skin
402726006,Primary chylomicronemia
402727002,Secondary hyperlipidemia
402785008,Primary genetic hyperlipidemia
402786009,Chylomicronemia syndrome
402787000,Primary genetic mixed hyperlipidemia
403827000,Familial lipoprotein lipase deficiency with type I phenotype
403828005,Familial lipoprotein lipase deficiency with type V phenotype
403829002,Familial hypercholesterolemia due to heterozygous low density lipoprotein receptor mutation
403830007,Familial hypercholesterolemia due to homozygous low density lipoprotein receptor mutation
403831006,Familial hypercholesterolemia due to genetic defect of apolipoprotein B
426161002,Chemically induced hyperlipidemia
445261005,Posttransplant hyperlipidemia
55822004,Hyperlipidemia
633311000000107,Hyperlipidemia NOS
701000119103,Mixed hyperlipidemia due to type 2 diabetes mellitus
767133009,Familial hypercholesterolemia co-occurrent and due to combined heterozygous low density lipoprotein receptor and low density lipoprotein receptor adaptor protein 1 mutations
773649005,Transient infantile hypertriglyceridemia and hepatosteatosis
773726000,Hypercholesterolemia due to cholesterol 7alpha-hydroxylase deficiency
