code,term
10713006,Diffuse interstitial rheumatoid disease of lung
1073701000119107,Rheumatoid arthritis of left foot
1073711000119105,Rheumatoid arthritis of left hand
1073721000119103,Rheumatoid arthritis of left hip
1073731000119100,Rheumatoid arthritis of left knee
1073741000119109,Rheumatoid arthritis of left shoulder
1073751000119106,Rheumatoid arthritis of left wrist
1073781000119104,Rheumatoid arthritis of right foot
1073791000119101,Rheumatoid arthritis of right hand
1073801000119100,Rheumatoid arthritis of right hip
1073811000119102,Rheumatoid arthritis of right knee
1073821000119109,Rheumatoid arthritis of right shoulder
1073831000119107,Rheumatoid arthritis of right wrist
1073861000119104,Deformity of right hand co-occurrent and due to rheumatoid arthritis
1073871000119105,Deformity of left hand co-occurrent and due to rheumatoid arthritis
1073881000119108,Deformity of right foot co-occurrent and due to rheumatoid arthritis
1073891000119106,Deformity of left foot co-occurrent and due to rheumatoid arthritis
11055151000119108,Seropositive rheumatoid arthritis of multiple joints
111218008,Rheumatoid arthritis with other visceral or systemic involvement
111280008,Rheumatoid pneumoconiosis
129563009,Rheumatoid osteoperiostitis
138835002,H/O: rheumatoid arthritis
143441000119108,Rheumatoid arthritis in remission
155621007,Rheumatoid lung
156471009,Rheumatoid arthritis
156472002,Rheumatoid arthritis - multiple joint
156473007,Rheumatoid arthritis of shoulder
156474001,Rheumatoid arthritis of elbow
156475000,Rheumatoid arthritis of wrist
156476004,Rheumatoid arthritis - hand joint
156477008,Rheumatoid arthritis of hip
156478003,Rheumatoid arthritis of knee
156479006,Rheumatoid arthritis - ankle/foot
156480009,Rheumatoid arthritis - other joint
156481008,Rheumatoid arthritis NOS
156482001,Felty's syndrome
156483006,Juvenile rheumatoid arthritis &/or Still's disease
15686281000119101,Rheumatoid arthritis of bilateral feet
15687201000119107,Rheumatoid arthritis of bilateral knees
15687321000119109,Rheumatoid arthritis of bilateral hands
15744441000119101,Deformity of bilateral hands due to rheumatoid arthritis
15744481000119106,Deformity of bilateral wrists due to rheumatoid arthritis
15744961000119106,Deformity of bilateral feet due to rheumatoid arthritis
161567008,History of rheumatoid arthritis
193180002,Polyneuropathy in rheumatoid arthritis
193250002,Myopathy due to rheumatoid arthritis
195136004,Rheumatoid myocarditis
195138003,Rheumatoid carditis
1961000,Chronic polyarticular juvenile rheumatoid arthritis
196132006,Rheumatoid lung
201764007,Rheumatoid arthritis of cervical spine
201765008,Other rheumatoid arthritis of spine
201766009,Rheumatoid arthritis of shoulder
201767000,Rheumatoid arthritis of sternoclavicular joint
201768005,Rheumatoid arthritis of acromioclavicular joint
201769002,Rheumatoid arthritis of elbow
201770001,Rheumatoid arthritis of distal radioulnar joint
201771002,Rheumatoid arthritis of wrist
201772009,Rheumatoid arthritis of metacarpophalangeal joint
201773004,Rheumatoid arthritis of proximal interphalangeal joint of finger
