code,term
117681000119102,Chronic kidney disease stage 1 due to hypertension
129181000119109,Chronic kidney disease stage 2 due to hypertension
140131000119102,Hypertension in chronic kidney disease stage 2 due to type 2 diabetes mellitus
284971000119100,Chronic kidney disease stage 1 due to benign hypertension
284981000119102,Chronic kidney disease stage 2 due to benign hypertension
285851000119102,Malignant hypertensive chronic kidney disease stage 1
285861000119100,Malignant hypertensive chronic kidney disease stage 2
324121000000109,Chronic kidney disease stage 1 with proteinuria
324151000000104,Chronic kidney disease stage 1 without proteinuria
324181000000105,Chronic kidney disease stage 2 with proteinuria
324211000000106,Chronic kidney disease stage 2 without proteinuria
431855005,Chronic kidney disease stage 1
431856006,Chronic kidney disease stage 2
741000119101,Chronic kidney disease stage 2 due to type 2 diabetes mellitus
751000119104,Chronic kidney disease stage 1 due to type 2 diabetes mellitus
90721000119101,Chronic kidney disease stage 1 due to type 1 diabetes mellitus
90731000119103,Chronic kidney disease stage 2 due to type 1 diabetes mellitus
949401000000103,Chronic kidney disease with glomerular filtration rate category G1 and albuminuria category A1
949421000000107,Chronic kidney disease with glomerular filtration rate category G1 and albuminuria category A2
949521000000108,Chronic kidney disease with glomerular filtration rate category G2 and albuminuria category A1
949561000000100,Chronic kidney disease with glomerular filtration rate category G2 and albuminuria category A2
96741000119109,Hypertensive heart AND chronic kidney disease stage 2
96751000119106,Hypertensive heart AND chronic kidney disease stage 1
