code,term
102447009,Postmenopausal osteoporosis
11874341000119106,Pathological fracture of left rib due to osteoporosis
11874381000119101,Pathological fracture of right rib due to osteoporosis
14651005,Drug-induced osteoporosis
18040001,Senile osteoporosis
203429007,Idiopathic generalized osteoporosis
203433000,Postoophorectomy osteoporosis
203434006,Post-surgical malabsorption osteoporosis
203437004,Osteoporosis in endocrine disorders
203438009,Vertebral osteoporosis
203444008,Postoophorectomy osteoporosis with pathological fracture
203445009,Osteoporosis of disuse with pathological fracture
203447001,Pathological fracture co-occurrent and due to drug-induced osteoporosis
203448006,Idiopathic osteoporosis with pathological fracture
203450003,Osteoporosis with pathological fracture of lumbar vertebrae
203451004,Osteoporosis with pathological fracture of thoracic vertebrae
203452006,Osteoporosis with pathological fracture of cervical vertebrae
203453001,Postmenopausal osteoporosis with pathological fracture
203657009,Osteoporotic kyphosis
240154002,Idiopathic osteoporosis in pregnancy
240155001,Adult idiopathic generalized osteoporosis
240157009,Secondary generalized osteoporosis
240198002,Osteoporotic vertebral collapse
268028001,Localized disuse osteoporosis
276661002,Primary osteoporosis
309745002,Osteoporosis localized to spine
32369003,Menopausal osteoporosis
3345002,Idiopathic osteoporosis
390833005,Osteoporosis caused by corticosteroid
425371000000103,[X]Unspecified osteoporosis with pathological fracture
53174001,Disuse osteoporosis
64859006,Osteoporosis
707419009,Osteoporosis due to cystic fibrosis
735617003,Premenopausal idiopathic osteoporosis
735618008,Osteoporosis due to malabsorption
782785002,X-linked osteoporosis with fractures
783620009,Dominant hypophosphatemia with nephrolithiasis and/or osteoporosis
