code,term
10875004,"Severe mixed bipolar I disorder with psychotic features, mood-incongruent"
10981006,Severe mixed bipolar I disorder with psychotic features
111485001,Mixed bipolar I disorder in full remission
1196001,"Chronic bipolar II disorder, most recent episode major depressive"
12969000,"Severe bipolar II disorder, most recent episode major depressive, in full remission"
133091000119105,Rapid cycling bipolar I disorder
13313007,Mild bipolar disorder
13581000,"Severe bipolar I disorder, single manic episode with psychotic features, mood-congruent"
13746004,Bipolar disorder
14495005,"Severe bipolar I disorder, single manic episode without psychotic features"
1499003,"Bipolar I disorder, single manic episode with postpartum onset"
162004,Severe manic bipolar I disorder without psychotic features
16238741000119105,Bipolar disorder caused by drug
16295005,"Bipolar II disorder, most recent episode major depressive"
16506000,Mixed bipolar I disorder
17782008,"Bipolar I disorder, most recent episode manic with catatonic features"
191618007,"Bipolar affective disorder, current episode manic"
191620005,"Bipolar affective disorder, currently manic, mild"
191621009,"Bipolar affective disorder, currently manic, moderate"
191623007,"Bipolar affective disorder, currently manic, severe, with psychosis"
191625000,"Bipolar affective disorder, currently manic, in full remission"
191627008,"Bipolar affective disorder, current episode depression"
191629006,"Bipolar affective disorder, currently depressed, mild"
191630001,"Bipolar affective disorder, currently depressed, moderate"
191634005,"Bipolar affective disorder, currently depressed, in full remission"
191636007,Mixed bipolar affective disorder
191638008,"Mixed bipolar affective disorder, mild"
191639000,"Mixed bipolar affective disorder, moderate"
191641004,"Mixed bipolar affective disorder, severe, with psychosis"
191643001,"Mixed bipolar affective disorder, in full remission"
192362008,"Bipolar affective disorder, current episode mixed"
19300006,"Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-congruent"
20960007,"Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-incongruent"
21900002,"Bipolar I disorder, most recent episode depressed with catatonic features"
22121000,Depressed bipolar I disorder in full remission
22407005,"Bipolar II disorder, most recent episode major depressive with catatonic features"
231444002,Organic bipolar disorder
23741000119105,Severe manic bipolar I disorder
261000119107,Severe depressed bipolar I disorder
26203008,"Severe depressed bipolar I disorder with psychotic features, mood-incongruent"
26530004,"Severe bipolar disorder with psychotic features, mood-incongruent"
271000119101,Severe mixed bipolar I disorder
28663008,Severe manic bipolar I disorder with psychotic features
28884001,"Moderate bipolar I disorder, single manic episode"
29929003,"Bipolar I disorder, most recent episode depressed with atypical features"
30520009,"Severe bipolar II disorder, most recent episode major depressive with psychotic features"
30687003,"Bipolar II disorder, most recent episode major depressive with postpartum onset"
30935000,Manic bipolar I disorder in full remission
31446002,"Bipolar I disorder, most recent episode hypomanic"
33380008,"Severe manic bipolar I disorder with psychotic features, mood-incongruent"
34315001,"Bipolar II disorder, most recent episode major depressive with melancholic features"
