code,term
102281000000108,Did not attend asthma clinic
102291000000105,Did not attend cryotherapy clinic
102301000000109,Did not attend hyperthyroidism clinic
102311000000106,Did not attend epilepsy clinic
102321000000100,Did not attend chronic obstructive pulmonary disease clinic
102331000000103,Did not attend stroke clinic
102341000000107,Did not attend physiotherapy appointment
1036961000000106,Did not attend mild cognitive impairment review
1036971000000104,Did not attend mild cognitive impairment review 
105381000000105,Did not attend cryotherapy clinic
105391000000107,Did not attend hyperthyroidism clinic
105401000000105,Did not attend epilepsy clinic
105411000000107,Did not attend chronic obstructive pulmonary disease clinic
105421000000101,Did not attend physiotherapy appointment
1078521000000108,Did not attend general practitioner access hub appointment
1078981000000104,Did not attend musculoskeletal extended scope practitioner appointment
1086421000000102,"Did not attend diphtheria, tetanus and acellular pertussis, inactivated polio, Haemophilus influenzae type b and hepatitis B vaccination"
109351000000102,Did not attend cryotherapy clinic
110011000000107,Did not attend chronic obstructive pulmonary disease clinic
1101631000000104,Did not attend gender identity clinic
111971000000107,Did not attend podiatry clinic
112741000000109,Did not attend podiatry clinic
117471000000107,Did not attend psychiatry clinic
122211000000109,Did not attend psychiatry clinic
1240631000000102,Did not attend severe acute respiratory syndrome coronavirus 2 vaccination
1324831000000104,Did not attend for first dose of severe acute respiratory syndrome coronavirus 2 vaccine
1324841000000108,Did not attend for second dose of severe acute respiratory syndrome coronavirus 2 vaccine
1373761000000103,Did not attend smallpox virus vaccination
1373781000000107,Did not attend for first dose of smallpox virus vaccine
1373791000000109,Did not attend for second dose of smallpox virus vaccine
1373801000000108,Did not attend for third dose of smallpox virus vaccine
153513006,Did not attend - reason given
153514000,Patient did not attend: [no reason] or [defaulted from f/u]
170691000000100,Did not attend peripheral vascular disease clinic
170701000000100,Did not attend substance misuse clinic
170711000000103,Did not attend community psychiatric nurse review
170731000000106,Did not attend dietetic clinic
175351000000105,Did not attend peripheral vascular disease clinic
175361000000108,Did not attend substance misuse clinic
175371000000101,Did not attend community psychiatric nurse review
175391000000102,Did not attend dietetic clinic
185326000,Did not attend - reason given
185329007,Did not attend - appointment mix-up
197951000000105,Did not attend vaginal swab
197961000000108,Did not attend travel vaccination
197971000000101,Did not attend blood test
199301000000100,Did not attend diabetic retinopathy clinic
199331000000106,Did not attend influenza vaccination appointment
200141000000108,Did not attend cognitive behaviour therapy
200361000000106,Did not attend practice nurse heart failure clinic
200961000000107,Did not attend mental health review
201541000000106,Did not attend community anticoagulation clinic
201741000000102,Did not attend child immunisation
201751000000104,Did not attend retinal screening
201761000000101,Did not attend cervical smear
2021000000109,Patient did not attend: [no reason] or [defaulted from f/u]
203921000000106,Did not attend initial appointment
212731000000102,Did not attend vaginal swab
212741000000106,Did not attend vaginal swab
212771000000100,Did not attend blood test
212781000000103,Did not attend blood test
214811000000108,Did not attend diabetic retinopathy clinic
214821000000102,Did not attend diabetic retinopathy clinic
216671000000108,Did not attend cognitive behaviour therapy
216681000000105,Did not attend cognitive behaviour therapy
217751000000106,Did not attend practice nurse heart failure clinic
217761000000109,Did not attend practice nurse heart failure clinic
219191000000107,DNA - Did not attend mental health review
219201000000109,DNA - Did not attend mental health review
219751000000103,Did not attend community anticoagulation clinic
219761000000100,Did not attend community anticoagulation clinic
248051000000100,Did not attend weight monitoring clinic
248571000000104,Did not attend heart failure clinic
248831000000104,Did not attend general practitioner chronic disease monitoring clinic
251151000000105,Did not attend weight monitoring clinic 
251161000000108,Did not attend heart failure clinic 
251171000000101,Did not attend general practitioner chronic disease monitoring clinic 
25261000000107,Did not attend smoking cessation clinic
270426007,Did not attend - no reason
274131000000104,Did not attend weight monitoring clinic 
274141000000108,Did not attend heart failure clinic 
274151000000106,Did not attend general practitioner chronic disease monitoring clinic 
275981000000102,Did not attend breast screening clinic
281399006,Did not attend
286621000000107,Did not attend renal clinic
286631000000109,Did not attend renal clinic 
286641000000100,Did not attend renal clinic 
288291000000106,Did not attend
288301000000105,Did not attend retinal screening
292491000000105,Did not attend
292501000000104,Did not attend retinal screening
293191000000109,Did not attend bowel cancer screening programme nurse clinic
294261000000108,Did not attend bowel cancer screening
294661000000105,Did not attend ear nose and throat special interest general practitioner clinic
294671000000103,Did not attend ear nose and throat special interest general practitioner clinic 
294681000000101,Did not attend ear nose and throat special interest general practitioner clinic 
295261000000109,Did not attend ophthalmology special interest general practitioner clinic
295271000000102,Did not attend opthalmology special interest general practitioner clinic 
295281000000100,Did not attend opthalmology special interest general practitioner clinic 
295291000000103,Did not attend dermatology special interest general practitioner clinic
295301000000104,Did not attend dermatology special interest general practitioner clinic 
295311000000102,Did not attend dermatology special interest general practitioner clinic 
295321000000108,Did not attend gynaecology special interest general practitioner clinic
295331000000105,Did not attend gynaecology special interest general practitioner clinic 
295341000000101,Did not attend gynaecology special interest general practitioner clinic 
295491000000102,Did not attend cardiology special interest general practitioner clinic
295501000000108,Did not attend cardiology special interest general practitioner clinic 
295511000000105,Did not attend cardiology special interest general practitioner clinic 
298141000000107,Did not attend chronic kidney disease monitoring clinic
298151000000105,Did not attend chronic kidney disease monitoring clinic 
298161000000108,Did not attend chronic kidney disease monitoring clinic 
299591000000104,Did not attend for community disease modifying antirheumatic drug monitoring
299601000000105,Did not attend for community DMARD monitoring follow up 
299611000000107,Did not attend for community DMARD monitoring follow up 
306861000000107,Did not attend diabetes structured education programme
306871000000100,Did not attend diabetes structured education programme 
306881000000103,Did not attend diabetes structured education programme 
307081000000106,Did not attend headache special interest general practitioner clinic
307091000000108,Did not attend headache special interest general practitioner clinic 
307101000000100,Did not attend headache special interest general practitioner clinic 
307141000000102,Did not attend dose adjustment for normal eating diabetes structured education programme
307151000000104,Did not attend dose adjustment for normal eating diabetes structured education programme 
307161000000101,Did not attend dose adjustment for normal eating diabetes structured education programme 
307171000000108,Did not attend diabetes education and self management for ongoing and newly diagnosed structured programme
307181000000105,Did not attend diabetes education and self management for ongoing and newly diagnosed structured programme 
307191000000107,Did not attend diabetes education and self management for ongoing and newly diagnosed structured programme 
307201000000109,Did not attend expert patient education versus routine treatment diabetes structured education programme
307211000000106,Did not attend expert patient education versus routine treatment diabetes structured education programme 
307221000000100,Did not attend expert patient education versus routine treatment diabetes structured education programme 
307231000000103,Did not attend expert patients programme
307241000000107,Did not attend expert patient programme 
307251000000105,Did not attend expert patient programme 
314503007,Did not attend - hospital appointment
32141000000105,Patient did not attend: [no reason] or [defaulted from f/u]
341331000000109,Did not attend minor surgery clinic
341341000000100,Did not attend minor surgery clinic 
341351000000102,Did not attend minor surgery clinic 
354171000000107,Did not attend hospital anticoagulation clinic
354181000000109,Did not attend hospital anticoagulation clinic 
354191000000106,Did not attend hospital anticoagulation clinic 
354291000000101,Did not attend general practitioner anticoagulant clinic
354301000000102,Did not attend general practitioner anticoagulant clinic 
354311000000100,Did not attend general practitioner anticoagulant clinic 
