Concept	Preferred Term	Id
Delirium due to opioid withdrawal (disorder)	Delirium due to opioid withdrawal	16279021000119106
Vascular dementia without behavioral disturbance (disorder)	Vascular dementia without behavioural disturbance	16276361000119109
Bulimia nervosa in full remission (disorder)	Bulimia nervosa in full remission	16270871000119105
Bulimia nervosa in partial remission (disorder)	Bulimia nervosa in partial remission	16270831000119107
Severe major depressive disorder co-occurrent with anxiety single episode (disorder)	Severe major depressive disorder co-occurrent with anxiety single episode	16266991000119108
Moderate major depressive disorder co-occurrent with anxiety single episode (disorder)	Moderate major depressive disorder co-occurrent with anxiety single episode	16266831000119100
Mild major depressive disorder co-occurrent with anxiety single episode (disorder)	Mild major depressive disorder co-occurrent with anxiety single episode	16265951000119109
Illness anxiety disorder (disorder)	Illness anxiety disorder	16265701000119107
Recurrent major depressive disorder in partial remission co-occurrent with anxiety (disorder)	Recurrent major depressive disorder in partial remission co-occurrent with anxiety	16265301000119106
Recurrent major depressive disorder co-occurrent with anxiety in full remission (disorder)	Recurrent major depressive disorder co-occurrent with anxiety in full remission	16265061000119105
Recurrent moderate major depressive disorder co-occurrent with anxiety (disorder)	Recurrent moderate major depressive disorder co-occurrent with anxiety	16264901000119109
Recurrent severe major depressive disorder co-occurrent with anxiety (disorder)	Recurrent severe major depressive disorder co-occurrent with anxiety	16264821000119108
Recurrent mild major depressive disorder co-occurrent with anxiety (disorder)	Recurrent mild major depressive disorder co-occurrent with anxiety	16264621000119109
Bipolar disorder caused by drug (disorder)	Bipolar disorder caused by drug	16238741000119105
Depressive disorder caused by methamphetamine (disorder)	Depressive disorder caused by methamphetamine	16238221000119109
Depressive disorder caused by amphetamine (disorder)	Depressive disorder caused by amphetamine	16238181000119101
Delirium due to substance withdrawal syndrome (disorder)	Delirium due to substance withdrawal	16236701000119107
Delirium due to methamphetamine intoxication (disorder)	Delirium due to methamphetamine intoxication	16236661000119100
Behavioral disturbance co-occurrent and due to late onset Alzheimer dementia (disorder)	Behavioural disturbance co-occurrent and due to late onset Alzheimer dementia	16219201000119101
Psychotic disorder caused by methamphetamine (disorder)	Psychotic disorder caused by methamphetamine	15921731000119106
Mental disorder caused by methamphetamine (disorder)	Mental disorder caused by methamphetamine	12398361000119105
