code,term
101421000119107,Dementia due to Parkinson's disease
10171000132106,Behavioral and psychological symptoms of dementia
10349009,Multi-infarct dementia with delirium
10532003,"Primary degenerative dementia of the Alzheimer type, presenile onset, with depression"
105421000119105,Early onset Alzheimer's disease with behavioral disturbance
106021000119105,Multi-infarct dementia due to atherosclerosis
1067041000000100,On anti-dementia drug therapy
1089501000000102,Presenile dementia with psychosis
1089521000000106,Predominantly cortical dementia
1089531000000108,Predominantly cortical vascular dementia
1089581000000107,Predominantly cortical dementia
1148924004,Dementia due to deficiency of folic acid
1156761002,Progressive supranuclear palsy progressive non fluent aphasia
1156789004,Autosomal dominant Alzheimer disease due to mutation of amyloid precursor protein
1156798001,Autosomal dominant Alzheimer disease due to mutation of presenilin 2
1156800008,Autosomal dominant Alzheimer disease due to mutation of presenilin 1
1163119007,Creutzfeldt Jakob disease following graft of dura
1186877003,Dementia due to vitamin E deficiency
1186879000,Dementia due to thiamine deficiency
1186881003,Dementia due to niacin deficiency
1186883000,Dementia due to nutritional deficiency disorder
1186887004,Dementia caused by manganese and/or manganese compound
1187004001,Chronic traumatic encephalopathy
1230018005,Corticobasal syndrome
12348006,Presenile dementia
1259066002,Disorder of autonomic nervous system due to senile dementia of Lewy body type
1259121008,"Amyotrophic lateral sclerosis, parkinsonism, dementia complex of West New Guinea"
1259123006,"Amyotrophic lateral sclerosis, parkinsonism, dementia complex of Kii Peninsula"
1259124000,Amyotrophic lateral sclerosis with frontotemporal dementia
1259128002,Alzheimer disease with psychosis
1259469003,Dementia due to Gerstmann Straussler Scheinker syndrome
1259471003,Dementia due to Hashimoto encephalopathy
1259473000,Dementia due to fragile X syndrome
1259476008,Dementia due to genetic disease
1259478009,Dementia due to familial Creutzfeldt-Jakob disease
1259480003,Dementia due to fatal familial insomnia
1259485008,Dementia due to cerebral vasculitis
1259488005,Dementia due to cerebral amyloid angiopathy
1259494002,Dementia due to leukodystrophy
1259496000,Dementia due to Lyme disease
1259499007,Dementia due to hemorrhagic cerebral infarction due to hypertension
1259501004,Dementia due to kuru
1259503001,Dementia due to iatrogenic Creutzfeldt-Jakob disease
1259511006,Dementia due to Wilson disease
1259513009,Dementia due to Whipple disease
1259517005,Dementia due to systemic lupus erythematosus
1259519008,Dementia due to subacute sclerosing panencephalitis
1259522005,Dementia due to variant Creutzfeldt-Jakob disease
1259524006,Dementia due to trypanosomiasis
1259529001,Dementia due to sporadic Creutzfeldt-Jakob disease
1259579003,Dementia due to Behcet syndrome
1259581001,Dementia due to celiac disease
1259586006,Dementia due to autoimmune encephalitis
1259661008,Dementia due to inflammatory disorder of musculoskeletal system
1259663006,Dementia due to polyarteritis nodosa
1259665004,Dementia due to progressive subcortical gliosis
1259673008,Dementia due to neurofilament inclusion body disease
1259677009,Dementia due to multiple system atrophy
1259679007,Dementia due to atypical pantothenate kinase associated neurodegeneration
1259990004,Dementia due to classical pantothenate kinase associated neurodegeneration
12741002,AIDS with dementia
130121000119104,Dementia due to Rett's syndrome
134422007,Alzheimer's disease with early onset
134423002,Alzheimer's disease with late onset
135811000119107,Lewy body dementia with behavioral disturbance
14070001,Multi-infarct dementia with depression
141991000119109,Delusions in Alzheimer's disease
142001000119106,Depressed mood in Alzheimer's disease
142011000119109,Alzheimer's disease co-occurrent with delirium
142811000119104,Dementia due to Alzheimer's disease
154845000,Dementia (& [presenile] or [senile])
154846004,Uncomplicated senile dementia
154847008,Presenile dementia
154848003,Senile dementia with depressive or paranoid features
154849006,Senile dementia with delirium
154850006,Vascular dementia
154851005,Other senile/presenile dementia
154998003,Cerebral degenerations NOS &/or Alzheimer's disease &/or Pick's disease &/or Reye's syndrome
155061007,Creutzfeldt-Jakob disease
15662003,Senile dementia
1581000119101,Dementia of the Alzheimer type with behavioral disturbance
1591000119103,Dementia with behavioral disturbance
16219201000119101,Behavioral disturbance co-occurrent and due to late onset Alzheimer dementia
16276361000119109,Vascular dementia without behavioral disturbance
191448002,Senile and presenile organic psychotic conditions (& dementia)
191449005,Uncomplicated senile dementia
191450005,Presenile dementia
191451009,Uncomplicated presenile dementia
191452002,Presenile dementia with delirium
191454001,Presenile dementia with paranoia
191455000,Presenile dementia with depression
191456004,Presenile dementia NOS
191457008,Senile dementia with depressive or paranoid features
191458003,Senile dementia with paranoia
191459006,Senile dementia with depression
191460001,Senile dementia with depressive or paranoid features NOS
191461002,Senile dementia with delirium
191462009,Arteriosclerotic dementia (including [multi infarct dementia])
191463004,Uncomplicated arteriosclerotic dementia
191464005,Arteriosclerotic dementia with delirium
191465006,Arteriosclerotic dementia with paranoia
191466007,Arteriosclerotic dementia with depression
191467003,Arteriosclerotic dementia NOS
