code,term
12240741000119107,Neglect of adult
12399011000119104,Neglect of elder
137903001,Abandoned child
15401000000104,Abandoned
160507001,Abandoned child
213004004,Nutritional maltreatment of child
213007006,Multiple deprivation of child
213016005,Neglect or abandonment
219243004,Abandonment of helpless person NOS
222564001,[X]Neglect and abandonment
222565000,"[X]Neglect and abandonment, by spouse or partner"
222566004,"[X]Neglect and abandonment, by parent"
222568003,"[X]Neglect and abandonment, by other specified persons"
222569006,"[X]Neglect and abandonment, by unspecified person"
242037000,Child abandonment
242038005,Abandonment of infant
242043003,Abandonment of elderly person
242048007,Neglect of disabled person
278707004,Emotional deprivation of child
371776003,Neglect or abandonment
385657008,Abandoned
387501000000106,[X]Neglect and abandonment
394381000000103,"[X]Neglect and abandonment, by parent"
418496002,Child neglect
432262005,Nutritional neglect of adult
434191000000100,"[X]Neglect and abandonment, by unspecified person"
447961000000103,"[X]Neglect and abandonment, by spouse or partner"
474911000000109,"[X]Neglect and abandonment, by other specified persons"
688861000000101,Abandonment of helpless person NOS
697967005,Suspected child abandonment
702954001,Suspected victim of child abandonment
835371000000107,Abandoned baby
987911000000108,Care and supervision of abandoned child
