code,term
10586006,Occupation-related stress disorder
10743001000119103,Anxiety disorder in mother complicating childbirth
109006,Anxiety disorder of childhood OR adolescence
111487009,Dream anxiety disorder
111490003,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND severe panic attacks"
111491004,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in partial remission"
11806006,Separation anxiety disorder of childhood
11941006,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in full remission"
12398201000119102,Anxiety disorder caused by methamphetamine
126943008,Separation anxiety
13438001,Overanxious disorder of childhood
1380006,Agoraphobia without history of panic disorder with limited symptom attacks
16264621000119109,Recurrent mild major depressive disorder co-occurrent with anxiety
16264821000119108,Recurrent severe major depressive disorder co-occurrent with anxiety
16264901000119109,Recurrent moderate major depressive disorder co-occurrent with anxiety
16265061000119105,Recurrent major depressive disorder co-occurrent with anxiety in full remission
16265301000119106,Recurrent major depressive disorder in partial remission co-occurrent with anxiety
16265951000119109,Mild major depressive disorder co-occurrent with anxiety single episode
16266831000119100,Moderate major depressive disorder co-occurrent with anxiety single episode
16266991000119108,Severe major depressive disorder co-occurrent with anxiety single episode
1686006,"Sedative, hypnotic AND/OR anxiolytic-induced anxiety disorder"
17496003,Organic anxiety disorder
1816003,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND mild panic attacks"
191722009,Agoraphobia with panic attacks
191724005,"Social phobia, fear of eating in public"
191725006,"Social phobia, fear of public speaking"
191726007,"Social phobia, fear of public washing"
191736004,Obsessive-compulsive disorder
191737008,Compulsive neurosis
191738003,Obsessional neurosis
192014006,Psychogenic rumination
192037000,Acute panic state due to acute stress reaction
192038005,Acute fugue state due to acute stress reaction
192039002,Acute stupor state due to acute stress reaction
192041001,Acute situational disturbance
192042008,Acute post-trauma stress state
192044009,Stress reaction causing mixed disturbance of emotion and conduct
192611004,Childhood phobic anxiety disorder
197480006,Anxiety disorder
19766004,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND severe panic attacks"
21897009,Generalized anxiety disorder
22230001,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in full remission"
225624000,Panic attack
22621000119103,Anxiety disorder caused by drug
231502005,Situational panic attack
231503000,Non-situational panic attack
231504006,Mixed anxiety and depressive disorder
238965007,Venereophobia
238966008,Syphilophobia
238976006,Bromisodrophobia
24781009,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in full remission"
248231000000103,Paruresis
25501002,Social phobia
268669006,Childhood and adolescent disturbance with elective mutism
279611005,Shell shock
286544004,Panic
30059008,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND moderate panic attacks"
313182004,Chronic post-traumatic stress disorder
3158007,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in partial remission"
31781004,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND mild panic attacks"
318784009,"Posttraumatic stress disorder, delayed onset"
32388005,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND moderate panic attacks"
34116005,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND severe panic attacks"
34938008,Anxiety disorder caused by alcohol
351861000000106,Stranger anxiety
35607004,Panic disorder with agoraphobia
371631005,Panic disorder
37868008,Anxiety disorder of adolescence
37872007,Avoidant disorder of childhood OR adolescence
38328002,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in full remission"
386810004,Phobic disorder
395017009,Complaining of panic attack
426174008,Chronic stress disorder
428687006,Nightmares associated with chronic post-traumatic stress disorder
43150009,Panic disorder without agoraphobia with severe panic attacks
443919007,Complex posttraumatic stress disorder
446175003,Acute posttraumatic stress disorder following military combat
446180007,Delayed posttraumatic stress disorder following military combat
47505003,Posttraumatic stress disorder
4932002,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND mild panic attacks"
49564006,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND moderate panic attacks"
