code,term
306211000000109,Failed asylum seeker
306221000000103,Application for Asylum declined 
306231000000101,Application for Asylum declined 
389298001,Asylum seeker
390033009,Asylum seeker
390790000,Asylum seeker
728611000000100,Asylum seeker awaiting decision on refugee status
728621000000106,Asylum seeker with application for asylum refused
728631000000108,Asylum seeker with humanitarian protection status
729851000000109,Asylum seeker with discretionary leave to remain
748241000000103,Unaccompanied child asylum seeker
