code,term
154952004,Attention deficit hyperactivity disorder
192127007,Child attention deficit disorder
192129005,Attention deficit hyperactivity disorder
192131001,Hyperkinesis with developmental delay
192132008,Hyperkinetic conduct disorder
229715008,Deficits in attention motor control and perception
229717000,Attention deficit hyperactivity disorder
23148009,Undifferentiated attention deficit disorder
28271000087107,History of attention deficit hyperactivity disorder
31177006,"Attention deficit hyperactivity disorder, combined type"
35253001,"Attention deficit hyperactivity disorder, predominantly inattentive type"
406506008,Attention deficit hyperactivity disorder
42584006,Attention deficit hyperactivity disorder
444613000,Adult attention deficit hyperactivity disorder
698689005,"Attention deficit hyperactivity disorder, predominantly inattentive type in remission"
698692009,"Attention deficit hyperactivity disorder, predominantly hyperactive impulsive type in remission"
702815001,"Attention deficit hyperactivity disorder, inattentive presentation (restrictive)"
7461003,"Attention deficit hyperactivity disorder, predominantly hyperactive impulsive type"
889811000000103,"Attention deficit hyperactivity disorder, inattentive presentation (restrictive)"
