code,term
1003584006,Hind brain laceration with open intracranial wound and loss of consciousness
1032761000000105,"Intraventricular (nontraumatic) haemorrhage, grade 4, of fetus and newborn"
10349009,Multi-infarct dementia with delirium
106021000119105,Multi-infarct dementia due to atherosclerosis
107557061000119108,Cerebrovascular accident due to embolism of bilateral anterior cerebral arteries
1078001000000105,Haemorrhagic stroke
1089411000000104,Cerebral infarction due to occlusion of cerebral artery
1089421000000105,Cerebral infarction due to stenosis of cerebral artery
10943311000119108,Contusion of right cerebrum
10943471000119107,Contusion of left cerebrum
110030002,Concussion injury of brain
111297002,Nonparalytic stroke
111654000,Brain injury without open intracranial wound and with unspecified state of consciousness
111655004,Brain injury with open intracranial wound and unspecified state of consciousness
111897007,Acute necrotizing encephalitis
1142056004,Neonatal ischemic stroke
1144223007,Hypoxic ischemic encephalopathy of newborn
1148741008,Necrosis of brain caused by exposure to ionizing radiation
1156035006,Nontraumatic injury of brain
1162261000,Necrosis of temporal lobe caused by exposure to ionizing radiation
116288000,Paralytic stroke
1163482004,Hemorrhagic cerebral infarction caused by Aspergillus
117776611000119102,Cerebrovascular accident due to occlusion of left posterior communicating artery
1186863001,Central diabetes insipidus due to and following traumatic event
1187004001,Chronic traumatic encephalopathy
11890005,Anoxic encephalopathy
1197363004,Pediatric arterial ischemic stroke
1197757006,Acute kernicterus of newborn
1197758001,Kernicterus spectrum disorder
1217046003,Avascular necrosis of pituitary gland
1231168008,Malignant middle cerebral artery syndrome
125081000119106,Cerebral infarction due to occlusion of precerebral artery
12589008,Brain stem laceration with open intracranial wound
1259062000,Acute toxicity due to and following early brain irradiation
1259536000,Leak of cranial cerebrospinal fluid due to and following injury of head
1259554001,Anoxic encephalopathy due to respiratory arrest
1259556004,Anoxic encephalopathy due to cardiac arrest
1259558003,Anoxic encephalopathy due to asphyxiation
1259562009,Cognitive impairment due to late-delayed irradiation of brain
1260271009,Hemorrhagic cerebral infarction due to hypertension
1260338007,Hydrocephalus ex vacuo due to and following radiation therapy
1260357003,Injury of brain due to early brain irradiation
1260359000,Injury of brain due to early delayed brain irradiation
126944002,Brain disorder resulting from a period of impaired oxygen delivery to the brain
126945001,Perinatal anoxic-ischemic brain injury
127294003,Traumatic or nontraumatic brain injury
127295002,Traumatic brain injury
127298000,Traumatic brain injury with loss of consciousness
127299008,Traumatic brain injury with brief loss of consciousness
127300000,Traumatic brain injury with moderate loss of consciousness
127301001,Traumatic brain injury with prolonged loss of consciousness
127302008,Traumatic brain injury with no loss of consciousness
127303003,Cortex laceration
127304009,Cerebellar contusion
127305005,Brain stem contusion
127306006,Cerebellar laceration
127307002,Brain stem laceration
127309004,Intracranial hemorrhage following injury with brief loss of consciousness
127310009,Intracranial hemorrhage following injury with moderate loss of consciousness
12912004,Brain injury with open intracranial wound AND no loss of consciousness
134811000119108,Severe hypoxic ischemic encephalopathy of newborn
134821000119101,Moderate hypoxic ischemic encephalopathy of newborn
134831000119103,Mild hypoxic ischemic encephalopathy of newborn
13752003,Brain injury with open intracranial wound AND loss of consciousness
14070001,Multi-infarct dementia with depression
140911000119109,Ischemic stroke with coma
140921000119102,Ischemic stroke without coma
141091000119105,Compression of brain co-occurrent and due to nontraumatic subarachnoid hemorrhage
141151000119101,Nontraumatic subdural hematoma with brain compression
14309005,Anterior choroidal artery syndrome
143521000119103,Nontraumatic intraparenchymal cerebral hemorrhage
14434006,Cerebellar laceration with open intracranial wound AND no loss of consciousness
14900002,Radiotherapy-induced hypopituitarism
149821000119103,Cerebral infarction due to carotid artery occlusion
152148641000119104,Cerebrovascular accident due to embolism of bilateral carotid arteries
15663121000119104,History of concussion injury of brain
157320002,(Intracranial injury) or (brain injury) or (cerebral trauma [& haemorrhage due to]) or (head injury - no #)
15985031000119102,Neonatal non-traumatic intraventricular hemorrhage
16000351000119109,Cerebrovascular accident due to occlusion of left posterior cerebral artery
16000391000119104,Cerebrovascular accident due to occlusion of right posterior cerebral artery
16000431000119109,Cerebrovascular accident due to occlusion of right middle cerebral artery
16000511000119103,Cerebrovascular accident due to occlusion of left middle cerebral artery
16002031000119102,Cerebrovascular accident due to thrombus of right middle cerebral artery
16002111000119106,Cerebrovascular accident due to thrombus of left middle cerebral artery
16023911000119108,Cerebrovascular accident due to occlusion of right carotid artery
16023991000119104,Cerebrovascular accident due to occlusion of left pontine artery
16024031000119100,Cerebrovascular accident due to occlusion of right pontine artery
16024111000119109,Cerebrovascular accident due to occlusion of left carotid artery
16024151000119105,Cerebrovascular accident due to occlusion of left cerebellar artery
16024271000119107,Cerebrovascular accident due to occlusion of right cerebellar artery
16026951000119102,Cerebrovascular accident due to stenosis of right carotid artery
16026991000119107,Cerebrovascular accident due to stenosis of left carotid artery
16319002,Cortex contusion without open intracranial wound AND with concussion
16371781000119100,Cerebellar stroke
16542721000119108,History of anoxic brain injury
16561007,Acute anoxic encephalopathy
16644681000119102,Cerebrovascular accident due to occlusion of bilateral pontine arteries
16661931000119102,Cerebrovascular accident due to stenosis of bilateral vertebral arteries
16661971000119104,Cerebrovascular accident due to stenosis of bilateral carotid arteries
168747591000119109,Cerebrovascular accident due to embolism of bilateral posterior cerebral arteries
16891111000119104,Cryptogenic stroke
17169009,Cerebellar contusion without open intracranial wound AND with loss of consciousness
17258002,Chronic anoxic encephalopathy
17498002,Cortex contusion without open intracranial wound AND with loss of consciousness
182960891000119101,Cerebrovascular accident due to occlusion of left anterior cerebral artery
18615009,Sunstroke
188174841000119103,Cerebrovascular accident due to occlusion of bilateral middle cerebral arteries
19210000,Brain stem laceration with open intracranial wound AND no loss of consciousness
19233004,Cerebellar contusion with open intracranial wound AND loss of consciousness
195185009,Cerebral infarct due to thrombosis of precerebral arteries
195186005,Cerebral infarction due to embolism of precerebral arteries
195189003,Cerebral infarction due to thrombosis of cerebral arteries
195190007,Cerebral infarction due to embolism of cerebral arteries
195209007,Middle cerebral artery syndrome
195210002,Anterior cerebral artery syndrome
195211003,Posterior cerebral artery syndrome
195212005,Brainstem stroke syndrome
195213000,Cerebellar stroke syndrome
195216008,Left sided cerebral hemisphere cerebrovascular accident
195217004,Right sided cerebral hemisphere cerebrovascular accident
195230003,"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic"
206188000,Subdural and cerebral hemorrhage due to birth trauma
206193002,"Injury due to birth trauma: [brain, NOS] or [cerebral]"
206196005,Cerebral hemorrhage due to birth injury
