code,term
10327003,Cocaine-induced mood disorder
105550004,Misused volatile solvents in past
1079141000000103,Emergency hospital admission to addiction service
1087481000000103,Late onset cocaine-induced psychosis
1087501000000107,Late onset cannabinoid-induced psychosis
1094151000000108,Harmful use of alcohol
1094161000000106,Harmful use of amphetamine
1094171000000104,Harmful use of cannabis
1094181000000102,Harmful use of Catha edulis
1094191000000100,Harmful use of cocaine
1094201000000103,Harmful use of hallucinogen
1094211000000101,Harmful use of inhalant
1094221000000107,Harmful use of methanol
1094231000000109,Harmful use of opioid
1094241000000100,Harmful use of sedative
1094251000000102,Harmful use of barbiturate
1094261000000104,Harmful use of stimulant
1094271000000106,Harmful use of synthetic cannabinoid
1094281000000108,Harmful use of synthetic cathinone
11047881000119101,Cannabis hyperemesis syndrome co-occurrent and due to cannabis abuse
11048011000119103,Cannabis hyperemesis syndrome co-occurrent and due to cannabis dependence
112891000000107,Referral to community drug dependency team
1149328002,Cannabis poisoning
11651000000103,Drug addiction notification - HS2A 1(Revision) to Home Office
11661000000100,Drug addiction re-notification - HS2A to Home Office
117071000000103,Referral to community drug dependency team
1187220002,Disorder caused by cocaine
121811000000104,Referral to community drug dependency team
1230071005,"Amfetamine and/or amfetamine derivative abuse, episodic"
1230072003,"Amfetamine and/or amfetamine derivative abuse, continuous"
1230074002,"Nondependent hypnotic abuse, episodic"
1230075001,"Nondependent anxiolytic abuse, episodic"
1230076000,"Nondependent anxiolytic abuse, continuous"
1230077009,"Nondependent hypnotic abuse, continuous"
1230078004,Nondependent anxiolytic abuse in remission
1230079007,Nondependent hypnotic abuse in remission
1230080005,Nondependent anxiolytic abuse
1230081009,Nondependent hypnotic abuse
1230082002,Nondependent psychostimulant abuse in remission
1230083007,Nondependent amfetamine and/or amfetamine derivative abuse in remission
1230084001,"Nondependent psychostimulant abuse, continuous"
1230085000,"Nondependent amfetamine and/or amfetamine derivative abuse, continuous"
1230086004,"Nondependent psychostimulant abuse, episodic"
1230087008,"Nondependent amfetamine and/or amfetamine derivative abuse, episodic"
1230088003,Nondependent amfetamine and/or amfetamine derivative abuse
1230089006,Nondependent psychostimulant abuse
1230266009,Amfetamine and/or amfetamine derivative abuse in remission
125851000119106,Continuous sedative abuse
13551000000103,HS2A form - drug addict notification
145101000119102,Intravenous cocaine abuse
145841000119107,Episodic phencyclidine abuse
151151006,(Drug addiction therapy (& [dependence] or [methadone]) or (FP10 (MDA) issued)
15167005,Alcohol abuse
153299007,Drug addiction notification (& admin)
153300004,Drug addict: [notific to CMO] or [HS2A 1(Rev) to HO]
153301000,Drug addict re-notific due
153302007,Drug addict: [renotif to CMO] or [renotif-HS2A to HO]
153303002,Drug addict-notify local SMR22
153304008,Drug addiction notif NOS
16077051000119102,Tobacco dependence caused by cigarettes in remission
16077091000119107,Tobacco dependence caused by cigarettes
16077171000119107,Tobacco dependence caused by chewing tobacco
17271000000101,Drug addiction re-notification to Chief Medical Officer
182820008,(Drug addiction therapy (& [dependence] or [methadone]) or (FP10 (MDA) issued)
185093008,Drug addiction notification (& admin)
185094002,Drug addict: [notific to CMO] or [HS2A 1(Rev) to HO]
185095001,Drug addict re-notific due
185096000,Drug addict: [renotif to CMO] or [renotif-HS2A to HO]
185098004,Drug addiction notif NOS
188201000000102,Referral to community drug and alcohol team
191701000000100,Referral to community drug and alcohol team
191831000,"Cocaine dependence, continuous"
191832007,"Cocaine dependence, episodic"
191833002,Cocaine dependence in remission
191837001,"Cannabis dependence, continuous"
191838006,"Cannabis dependence, episodic"
