code,term
102561001,Dyspraxia of arm
1187043002,"Psychomotor regression, oculomotor apraxia, movement disorder, nephropathy syndrome"
1208885004,Acquired oculomotor apraxia
1217230002,Cerebellar ataxia with oculomotor apraxia type 4
1231215008,Fronto-parietal type acquired oculomotor apraxia
1231216009,Frontal type acquired oculomotor apraxia
141133001,O/E - dyslexia
154954003,(Dyslexia: (& [developmental]) or reading delay
158318003,[D]Dyslexia
163931002,On examination - apraxia
163933004,On examination - dyslexia
192138007,Developmental dyslexia
192141003,Dyscalculia
193662007,Oculomotor apraxia
206987006,[D]Dyslexia
229680002,Deep dyslexia
229681003,Phonological dyslexia
229682005,Surface dyslexia
229697008,Oral-verbal dyspraxia
229698003,Articulatory dyspraxia
229699006,Immature articulatory praxis
229701006,Developmental articulatory dyspraxia
229703009,Developmental verbal dyspraxia
229704003,Acquired choreiform dyspraxia
229705002,Mixed acquired dyspraxia
229706001,Ideomotor dyspraxia
229707005,Dyspraxia of velopharynx
229708000,Velar dyspraxia
229709008,Tongue tip dyspraxia
268788005,(Dyslexia: (& [developmental]) or reading delay
271722004,Dyscalculia
27544004,Developmental coordination disorder
278920007,Speech and language dyspraxias
361275004,Oral dyspraxia
361277007,Verbal dyspraxia
405809000,Ocular motor apraxia Cogan type
409090001,On examination - dyspraxia
413361001,[D]Oral apraxia
424429009,Gait dyspraxia
497441000000101,[D]Dyslexia
53863007,Motor apraxia
55640002,Dyscalculia
59770006,Dyslexia
66397001,Sensory apraxia
6950007,Dyspraxia
712401000000106,Dyspraxia
715366004,Autosomal recessive cerebellar ataxia with oculomotor apraxia type 1
725408001,Autosomal recessive cerebellar ataxia with oculomotor apraxia type 2
763344007,"Cerebellar ataxia, intellectual disability, oculomotor apraxia, cerebellar cysts syndrome"
765093009,"Rolandic epilepsy, speech dyspraxia syndrome"
765212008,Balint syndrome
