code,term
104131000000107,Nocturnal sleep-related eating disorder
1067201000000106,Eating disorder co-occurrent with diabetes mellitus type 1
1111811000000109,Cognitive behavioural therapy for eating disorders
1186723008,Prepubertal anorexia nervosa
1197718003,Adolescent rumination disorder
126131000119101,History of eating disorder
126151000119107,History of bulimia nervosa
1362001000000104,Group cognitive behavioural therapy for eating disorder
14077003,Pica
154938001,(Eating disorder: [bulimia - nonorganic] or [psychogenic overeating] or [NOS - psychogenic]) or (pica) or (infant feeding problem)
161471008,History of anorexia nervosa
16270831000119107,Bulimia nervosa in partial remission
16270871000119105,Bulimia nervosa in full remission
192011003,Other and unspecified non-organic eating disorders
192012005,Unspecified non-organic eating disorder
192013000,Compulsive eating disorder (& [bulimia including non-organic overeating])
192016008,Non-organic infant feeding disturbance
192017004,Non-organic loss of appetite
192020007,Other specified non-organic eating disorder
192021006,Non-organic eating disorder NOS
192444003,[X]Eating disorders
192451007,[X] Eating disorders: [other] or [pica in adults] or [psychogenic loss of appetite]
192452000,"[X]Eating disorder, unspecified"
192630004,Psychogenic feeding disorder of infancy and childhood
192631000,Pica of infancy and childhood
231521002,Weight fixation
231522009,Atypical anorexia nervosa
231523004,Atypical bulimia nervosa
248118000,Self-induced purging to lose weight
249520001,Self-induced purging
268721001,[X]Other eating disorders
268779001,(Eating disorder: [bulimia - nonorganic] or [psychogenic overeating] or [NOS - psychogenic]) or (pica) or (infant feeding problem)
275474009,Psychogenic overeating
32721004,"Bulimia nervosa, purging type"
353441000000107,Seen in eating disorder clinic
353451000000105,Seen in eating disorder clinic 
353461000000108,Seen in eating disorder clinic 
36039004,Rumination disorder of infancy
37941009,Rumination disorder
405788002,Psychogenic loss of appetite
407666007,Nocturnal sleep-related eating disorder
410721000000104,[X]Other eating disorders
413721000000105,[X]Eating disorders
413861000000106,[X] Eating disorders: [other] or [pica in adults] or [psychogenic loss of appetite]
426881004,Developmental delay in feeding
427469003,Eating disorder in remission
439437006,Seen in eating disorder clinic
439960005,Binge eating disorder
468041000000107,"[X]Eating disorder, unspecified"
56882008,Anorexia nervosa
59645001,"Bulimia nervosa, nonpurging type"
608241000000102,Other and unspecified non-organic eating disorders
608251000000104,Unspecified non-organic eating disorder
608261000000101,Other specified non-organic eating disorder
608271000000108,Non-organic eating disorder NOS
63393005,"Anorexia nervosa, binge-eating purging type"
698695006,Anorexia nervosa in remission
698698008,Bulimia nervosa in remission
700213005,Avoidant restrictive food intake disorder
702853006,Eating disorder clinic
705001007,Self-induced vomiting to lose weight
705002000,Repeated self-induced vomiting
722877006,Adult rumination syndrome of ingested food
722959000,Anorexia nervosa co-occurrent with dangerously low body weight
722960005,Anorexia nervosa co-occurrent with significantly low body weight
72366004,Eating disorder
723917005,Dangerously low body weight co-occurrent and due to anorexia nervosa of restricting type
723918000,Dangerously low body weight co-occurrent and due to anorexia nervosa of binge-eating purging type
723919008,Significantly low body weight co-occurrent and due to anorexia nervosa of restricting type
723920002,Significantly low body weight co-occurrent and due to anorexia nervosa of binge-eating purging type
74142004,Feeding disorder of infancy OR early childhood
77251000000102,Referral to eating disorders clinic
77675002,"Anorexia nervosa, restricting type"
78004001,Bulimia nervosa
81561000000101,Referral to eating disorders clinic
828281000000107,Eating disorders service
870568002,Orthorexia nervosa
897261000000108,Suspected binge eating disorder
897271000000101,Suspected binge eating disorder 
962011000000105,Eating disorder care plan
962731000000104,Acquired delay in feeding
99221000000105,Nocturnal sleep-related eating disorder
