code,term
1034441000000105,Paternal alcohol abuse
1034451000000108,Paternal alcohol abuse 
1102101000000107,Maternal history of opioid misuse
1104261000000109,Substance misuser in household
134591000119102,Family history of substance abuse
147161001,(Apgar at 10 minutes = 5) or (drug abuse - maternal)
147162008,(Apgar at 10 minutes = 6) or (alcohol abuse -maternal)
147173001,Maternal tobacco abuse
147174007,Maternal drug abuse
147175008,Maternal alcohol abuse
160327004,Family history: Drug dependency
169940006,Maternal tobacco abuse
169941005,Maternal drug abuse
169942003,Maternal alcohol abuse
170551000000109,Carer of a person with substance misuse
170561000000107,Carer of a person with alcohol misuse
175211000000101,Carer of a person with substance misuse
175221000000107,Carer of a person with alcohol misuse
206572008,Neonatal withdrawal symptoms from maternal use of drugs of addiction
266890009,Family history of alcoholism
268582009,(Apgar at 10 minutes = 5) or (drug abuse - maternal)
268583004,(Apgar at 10 minutes = 6) or (alcohol abuse -maternal)
275114006,Alcoholic offspring
287351000000105,Family history of substance misuse
287361000000108,Family history of substance misuse 
287371000000101,Family history of substance misuse 
293161000000103,Family history of alcohol misuse
293171000000105,Family history of alcohol misuse 
293181000000107,Family history of alcohol misuse 
312362001,[V]Maternal family history of drug addiction
315868004,[V]Family history of alcohol abuse
315869007,[V]Family history of tobacco abuse
315871007,[V]Maternal family history of drug addiction
316832001,[X]Family history of other substance abuse
354881000000104,Paternal drug misuse
369401000000102,Paternal drug misuse 
370561000000102,Paternal drug misuse 
398201000000106,[V]Family history of tobacco abuse
417801000000103,[V]Maternal family history of drug addiction
428021000000106,[V]Family history of alcohol abuse
429701000000107,[V]Maternal family history of drug addiction
439138006,Both parents misuse drugs
439213009,Drug misuse by father
441381000000102,[X]Family history of other substance abuse
442080007,Drug misuse by mother
44241000119103,Adult child of alcoholic
713053006,Witness to adult substance misuse
713054000,Witness to adult alcohol misuse
713070003,Drug misuser in household
713071004,Alcohol misuser in household
722417007,Alcohol abuse by father
789612004,Alcohol abuse by mother
878802007,Alcoholic husband
878803002,Alcoholic spouse
878804008,Alcoholic parent
922961000000104,Witness to adult substance misuse
922971000000106,Witness to adult substance abuse 
923001000000109,Witness to adult alcohol misuse
923011000000106,Witness to adult alcohol misuse 
931921000000100,Drug misuser in household
931931000000103,Drug misuser in household 
931941000000107,Alcohol misuser in household
931951000000105,Alcohol misuser in household 
