code,term
105550004,Misused volatile solvents in past
1079141000000103,Emergency hospital admission to addiction service
11651000000103,Drug addiction notification - HS2A 1(Revision) to Home Office
11661000000100,Drug addiction re-notification - HS2A to Home Office
123088001,Addiction
1259941004,Alcohol treatment service
13551000000103,HS2A form - drug addict notification
1362311000000104,Addiction care plan
151151006,(Drug addiction therapy (& [dependence] or [methadone]) or (FP10 (MDA) issued)
153299007,Drug addiction notification (& admin)
153300004,Drug addict: [notific to CMO] or [HS2A 1(Rev) to HO]
153301000,Drug addict re-notific due
153302007,Drug addict: [renotif to CMO] or [renotif-HS2A to HO]
153303002,Drug addict-notify local SMR22
153304008,Drug addiction notif NOS
17271000000101,Drug addiction re-notification to Chief Medical Officer
182820008,(Drug addiction therapy (& [dependence] or [methadone]) or (FP10 (MDA) issued)
185093008,Drug addiction notification (& admin)
185094002,Drug addict: [notific to CMO] or [HS2A 1(Rev) to HO]
185095001,Drug addict re-notific due
185096000,Drug addict: [renotif to CMO] or [renotif-HS2A to HO]
185098004,Drug addiction notif NOS
191853003,Glue sniffing dependence
191855005,"Glue sniffing dependence, continuous"
191856006,"Glue sniffing dependence, episodic"
191857002,Glue sniffing dependence in remission
191859004,Drug dependence: [absinthe] or [other specified]
192209003,[X] (Mental and behavioural disorders due to use of alcohol: dependence syndrome) or (chronic alcoholism [& (addiction) or (dipsomania)])
192220003,[X] Mental and behavioural disorders due to use of opioids: dependence syndrome (& [drug addiction & (heroin)])
192265007,"[X] (Mental and behavioural disorders due to use of other stimulants, including caffeine: dependence syndrome) or (drug addiction - other stimulant)"
192299005,[X]solvents: [mental & behavioural disorders dependence syndrome due to use of] or [drug addiction]
192310006,[X] (Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: dependence syndrome) or (drug addiction NOS)
200021000000100,Drug addiction detoxification therapy - methadone
200031000000103,Drug addiction maintenance therapy - methadone
201311000000102,Drug addiction therapy - buprenorphine
206027006,Fetus or neonate affected by placental or breast transfer of other drug of addiction
206121000000104,Drug addiction maintenance therapy - buprenorphine
206131000000102,Drug addiction detoxification therapy - buprenorphine
206572008,Neonatal withdrawal symptoms from maternal use of drugs of addiction
21305004,Suspected damage to fetus from maternal alcohol addiction
216431000000109,Drug addiction detoxification therapy - methadone
216441000000100,Drug addiction detoxification therapy - methadone
216451000000102,Drug addiction maintenance therapy - methadone
216461000000104,Drug addiction maintenance therapy - methadone
219611000000108,Drug addiction maintenance therapy - buprenorphine
219621000000102,Drug addiction maintenance therapy - buprenorphine
219631000000100,Drug addiction detoxification therapy - buprenorphine
219641000000109,Drug addiction detoxification therapy - buprenorphine
228373001,Drug addict
228374007,Notified addict
231161000000109,Delivery of rehabilitation for alcohol addiction
231221000000105,Delivery of rehabilitation for drug addiction
231467000,Absinthe addiction
231477003,Dependence on diamorphine
23491000000101,Drug addict notification administration
23931000087109,Narcotic addiction medicine specialty
23941000087103,Narcotic addiction service
23951000087100,Opioid dependence service
23961000087102,Opioid dependency management specialty
24311000087103,Narcotic addiction medicine specialty with chronic pain management
