code,term
111492006,"Conversion disorder, single episode"
1197717008,Functional vomiting in childhood
129562004,Psychogenic skin disease
129605006,Postgastrectomy neurosis
16265701000119107,Illness anxiety disorder
18193002,Hypochondriasis
18393005,Undifferentiated somatoform disorder
191683009,Psychogenic stupor
191952007,Somatoform autonomic dysfunction - respiratory tract
191953002,Psychogenic air hunger
191954008,Psychogenic cough
191955009,Psychogenic hiccough
191956005,Psychogenic hyperventilation
191962000,Neurocirculatory asthenia
191965003,Psychogenic skin symptoms
191966002,Psychogenic pruritus
191970005,Psychogenic cyclical vomiting
191972002,Psychogenic dyspepsia
191973007,Psychogenic constipation
191977008,Psychogenic dysmenorrhea
191978003,Psychogenic dysuria
191980009,Psychogenic endocrine malfunction
191981008,Psychogenic symptom of special sense organ
192029008,Psychogenic backache
192430009,Somatoform disorder
192630004,Psychogenic feeding disorder of infancy and childhood
229630008,Psychogenic stammering
231509001,Dissociative astasia-abasia
231515001,Hypochondriacal pain
231516000,Cutaneous hypochondriasis
231517009,Somatoform autonomic dysfunction
236667007,Psychogenic urinary incontinence
238961003,Trichophobia
238965007,Venereophobia
238966008,Syphilophobia
238967004,Psychogenic sensory disturbance of skin
238976006,Bromisodrophobia
247364000,Psychosomatic rheumatism
25297005,Psychogenic adductor spastic dysphonia
268650001,Somatoform autonomic dysfunction - gastrointestinal tract
275472008,Psychogenic dysphonia
30077003,Somatoform pain disorder
307199009,Psychosomatic abdominal pain
31297008,Somatoform disorder
32174002,Voice disorder due to psychosexual conflict
35827000,Recurrent conversion disorder
37224001,Psychogenic vomiting
386537007,Psychogenic pylorospasm
386572005,Psychogenic syncope
397795007,Polysomatizing disorder
397826007,Briquet's syndrome
397923000,Somatization disorder
403593004,Phobic fear of skin cancer
403594005,Psychogenic formication
424271007,Hysterical cataplexy
425743007,Psychogenic vocal cord dysfunction
425832009,Psychophysiologic insomnia
441711008,Chronic psychogenic pain
441972000,Psychogenic disorder of the genitourinary system
442099003,Psychogenic fatigue
443853005,Psychogenic tremor
63990000,Psychogenic urticaria
64161004,Psychogenic voice disorder
65384007,Psychogenic alopecia
65438001,Psychogenic torticollis
66551002,Psychogenic headache
70967007,Hysterical deafness
71802006,Astasia-abasia
724818008,Functional monoparesis
724819000,Functional paraparesis
762522008,Penoscrotodynia
7956006,Psychogenic vertigo
83482000,Body dysmorphic disorder
8547008,Vocal abuse in children
864171000000103,Non-epileptic attack disorder
864181000000101,Non-epileptic attack disorder 
88902008,Hysterical blindness
88984006,Hysterical paralysis
95439001,Psychogenic aphonia
