code,term
105491000119107,Primary hyposomnia
1142084009,Hypernychthemeral syndrome
135311000119100,Insomnia caused by alcohol
135321000119107,Hypersomnia caused by alcohol
135331000119105,Disorder of sleep-wake cycle caused by alcohol
158149000,[D]Sleep disturbances (& [hypersomnia] or [insomnia])
158150000,"[D]Sleep disturbance, unspecified"
162204000,Late insomnia
191997003,Persistent insomnia
191999000,Persistent hypersomnia
192004002,Repeated rapid eye movement sleep interruptions
192008004,Reversed sleep-wake cycle
192454004,Nonorganic insomnia
193042000,Cataplexy and narcolepsy
193462001,Insomnia
194439006,Disorder of excessive somnolence
198437004,Menopausal sleeplessness
206746001,[D]Sleep disturbances
206747005,"[D]Sleep disturbance, unspecified"
230488004,Hypersomnia of non-organic origin
230489007,Excessive daytime sleepiness - normal night sleep
230490003,Excessive day and night-time sleepiness
230491004,Postviral excessive daytime sleepiness
230495008,Transient sleep-wake rhythm disorder
230496009,Non-24 hour sleep-wake cycle
24121004,Insomnia disorder related to another mental disorder
248256006,Not getting enough sleep
248258007,Circumstances interfere with sleep
248259004,Symptoms interfere with sleep
248260009,Unrefreshed by sleep
248261008,Oversleeps
248262001,Always sleepy
268652009,Transient insomnia
268653004,Transient hypersomnia
268722008,Non-organic disorder of the sleep-wake schedule
270961006,[D]Sleep disturbances (& [hypersomnia] or [insomnia])
271793004,Irregular sleep-wake pattern
271794005,Disorder of sleep-wake cycle
27971000119105,Insomnia co-occurrent and due to medical condition
288081000119106,"Behavioral insomnia of childhood, combined type"
288091000119109,"Behavioral insomnia of childhood, limit setting type"
288101000119104,"Behavioral insomnia of childhood, sleep onset association type"
288421000119100,Hyposomnia co-occurrent and due to psychological disorder
31491000119109,Disruptions of 24 hour sleep-wake cycle
31537005,"Sleep-wake schedule disorder, advanced phase type"
31771000119102,Daytime hypersomnia
36124002,Primary hypersomnia
370971007,Somnolence syndrome
3731000119107,Idiopathic hypersomnia
3972004,Primary insomnia
401236004,Early morning waking
418424006,Post-radiotherapy somnolence syndrome
41975002,Insomnia with sleep apnea
425832009,Psychophysiologic insomnia
426451004,Recurrent hypersomnia
426943005,Hypersomnia disorder related to menstruation
44186003,Dyssomnia
442120007,Recurrent isolated sleep paralysis
442292004,Idiopathic hypersomnia without long sleep time
442416002,Idiopathic hypersomnia associated with long sleep time
44455001,Hypersomnia disorder related to a known organic factor
495641000000109,[D]Sleep disturbances
495651000000107,"[D]Sleep disturbance, unspecified"
54230003,Mixed insomnia
54532007,"Sleep-wake schedule disorder, frequently changing type"
59050008,Initial insomnia
60380001,Narcolepsy
67062000,Terminal insomnia
67233009,Middle insomnia
713498009,Circadian rhythm sleep disorder of shift work type
715829003,Familial advanced sleep phase syndrome
722293005,"Autosomal dominant cerebellar ataxia, deafness and narcolepsy syndrome"
724748004,Chronic insomnia
724749007,Behaviorally induced hypersomnia
724750007,Hypersomnolence caused by substance
724751006,Sleep-wake schedule disorder due to jet lag
735676003,Narcolepsy type 1
762348004,Acute insomnia
77692006,Hypersomnia
787175002,"Ankyrin 3 related intellectual disability, sleep disturbance syndrome"
79280005,Hypersomnia with sleep apnea
80623000,"Sleep-wake schedule disorder, delayed phase type"
81608000,Insomnia disorder related to known organic factor
83157008,Fatal familial insomnia
88982005,Rebound insomnia
89415002,Hypersomnia disorder related to another mental disorder
90361000119105,Behavioral insomnia of childhood
91411000119105,Drug-induced insomnia
91461000119108,Disorder of sleep-wake cycle caused by drug
91471000119102,Drug-induced hypersomnia
91521000119104,Narcolepsy without cataplexy
93681000119102,Insomnia co-occurrent and due to nocturnal myoclonus
99711000119104,Organic sleep-wake cycle disorder
