code,term
10058006,Miscarriage with amniotic fluid embolism
102878001,Recurrent miscarriage
10697004,Miscarriage complicated by renal failure
10760661000119109,"Triplets, some live born"
10760701000119102,"Quadruplets, all live born"
10760741000119100,"Quadruplets, some live born"
10760781000119105,"Quintuplets, all live born"
10760821000119100,"Quintuplets, some live born"
10760861000119105,"Sextuplets, all live born"
10760901000119104,"Sextuplets, some live born"
10812041000119103,Urinary tract infection due to incomplete miscarriage
11026009,Miscarriage with renal tubular necrosis
11109001,Miscarriage with uremia
112075006,Premature birth of newborn sextuplets
1188251000000101,Signposting to teenage pregnancy and parenting support service
1220560005,Self-induced termination of pregnancy
1220564001,Incomplete induced termination of pregnancy complicated by shock
1220586000,Incomplete induced termination of pregnancy complicated by renal failure
1220625008,Incomplete induced termination of pregnancy complicated by metabolic disorder
1220630007,Incomplete induced termination of pregnancy complicated by embolism
1220631006,Incomplete induced termination of pregnancy complicated by delayed or excessive hemorrhage
1220632004,Incomplete induced termination of pregnancy complicated by damage to pelvic organs or tissues
1220641009,Complete induced termination of pregnancy with complication
1220645000,Complete induced termination of pregnancy complicated by shock
1220648003,Complete induced termination of pregnancy complicated by renal failure
1220651005,Complete induced termination of pregnancy complicated by metabolic disease
1220652003,Complete induced termination of pregnancy complicated by embolism
1220654002,Complete induced termination of pregnancy complicated by delayed or excessive hemorrhage
1220657009,Complete induced termination of pregnancy complicated by damage to pelvic organs and/or tissues
12394009,Miscarriage with cerebral anoxia
127009,Miscarriage with laceration of cervix
13384007,Miscarriage complicated by metabolic disorder
134435003,Routine antenatal care
135881001,Pregnancy review
138182006,Teenage pregnancy
13859001,Premature birth of newborn twins
14136000,Miscarriage with perforation of broad ligament
1469007,Miscarriage with urinary tract infection
151441000119105,Twin live born in hospital by vaginal delivery
15467003,"Term birth of identical twins, both living"
156072005,Incomplete miscarriage
156073000,Complete miscarriage
15809008,Miscarriage with perforation of uterus
160851000,Teenage pregnancy
16101000119107,Incomplete induced termination of pregnancy with complication
16111000119105,Incomplete spontaneous abortion due to hemorrhage
16607004,Missed abortion
16714009,Miscarriage with laceration of bowel
16836811000119108,Miscarriage of left tubal ectopic pregnancy
16836851000119109,Miscarriage of right tubal ectopic pregnancy
169572002,Antenatal care categorized by gravida number
169573007,Antenatal care of primigravida
169574001,Antenatal care of second pregnancy
169575000,Antenatal care of third pregnancy
169576004,Antenatal care of multipara
169600002,Antenatal care: under 5ft tall
169602005,Antenatal care: 10 years plus since last pregnancy
169603000,"Antenatal care: primiparous, under 17 years"
169826009,Single live birth
169827000,Single stillbirth
169828005,Twins - both live born
169829002,Twins - one still and one live born
169830007,Twins - both stillborn
169831006,Triplets - all live born
169832004,Triplets - two live and one stillborn
169833009,Triplets - one live and two stillborn
169834003,Triplets - three stillborn
17333005,Term birth of multiple newborns
17369002,Miscarriage
18391007,Elective abortion
184339009,Miscarriage at 8 to 28 weeks
18613002,Miscarriage with septic shock
19169002,Miscarriage in first trimester
198644001,Incomplete miscarriage with genital tract or pelvic infection
198645000,Incomplete miscarriage with delayed or excessive hemorrhage
198646004,Incomplete miscarriage with damage to pelvic organs or tissues
198647008,Incomplete miscarriage with renal failure
198648003,Incomplete miscarriage with metabolic disorder
198649006,Incomplete miscarriage with shock
198650006,Incomplete miscarriage with embolism
198655001,Complete miscarriage with genital tract or pelvic infection
198656000,Complete miscarriage with delayed or excessive hemorrhage
198657009,Complete miscarriage with damage to pelvic organs or tissues
198659007,Complete miscarriage with renal failure
198660002,Complete miscarriage with metabolic disorder
198661003,Complete miscarriage with shock
198663000,Complete miscarriage with embolism
199329004,"Multiple delivery, all spontaneous"
199330009,"Multiple delivery, all by forceps and vacuum extractor"
199331008,"Multiple delivery, all by cesarean section"
20272009,Premature birth of multiple newborns
21127004,Term birth of newborn male
21243004,Term birth of newborn
21360006,Miscarriage with afibrinogenemia
22514005,"Term birth of fraternal twins, one living, one stillborn"
237240001,Teenage pregnancy
237245006,Vanishing twin syndrome
237312008,"Multiple delivery, function"
237364002,Stillbirth
237365001,Fresh stillbirth
237366000,Macerated stillbirth
23793007,Miscarriage without complication
24146004,Premature birth of newborn quintuplets
243786000,Antenatal care
25192009,"Premature birth of fraternal twins, both living"
267194005,Complete legal abortion
274514009,"Delivery conduct, function"
275421004,Miscarriage with heavy bleeding
28030000,Twin birth
281050002,Livebirth
281052005,Triplet birth
28996007,Stillbirth of premature female (1000-2499 gms.)
29997008,Premature birth of newborn triplets
30165006,"Premature birth of fraternal twins, one living, one stillborn"
307733001,Inevitable abortion complete
