code,term
248004009,Physical aggression
248005005,Fighting
284623007,Lashing out at other person
284624001,Hitting other person
284625000,Hitting other person with object
284626004,Punching other person
284627008,Slapping other person
284628003,Head-butting other person
284629006,Grabbing hold of other person
284630001,Pushing other person
284631002,Biting other person
284632009,Pulling other person's hair
284633004,Nipping other person
284634005,Pinching other person
284635006,Scratching other person
284636007,Gouging other person
284637003,Stabbing other person
284638008,Cutting other person
284640003,Suffocating other person
284641004,Strangling other person
284642006,Suffocating other person through smothering
284643001,Garrotting other person
284644007,Drowning other person
284645008,Shooting other person
285136000,Slashing other person with sharp object
342631000000108,History of actual violent behaviour to others
342641000000104,History of threatening violent behaviour to others
439627005,History of threatening violent behavior toward others
440234007,History of violent behavior toward others
609582004,Kicking other person
69547003,Aggressive biting
