code,term
10007009,Coffin-Siris syndrome
1003385006,Neurodevelopmental disorder due to maternal use of alcohol
1010630006,X-linked complicated corpus callosum dysgenesis
1089701000000105,Profound intellectual development disorder without impairment of behaviour
1089711000000107,Profound intellectual development disorder with significant impairment of behaviour
1089721000000101,Profound intellectual development disorder with minimal impairment of behaviour
1089731000000104,Profound intellectual development disorder with impairment of behaviour
1089741000000108,Severe intellectual development disorder without significant impairment of behaviour
1089751000000106,Severe intellectual development disorder with significant impairment of behaviour
1089761000000109,Severe intellectual development disorder with minimal impairment of behaviour
1089771000000102,Severe intellectual development disorder with impairment of behaviour
1089781000000100,Moderate intellectual development disorder without significant impairment of behaviour
1089791000000103,Moderate intellectual development disorder with significant impairment of behaviour
1089811000000102,Moderate intellectual development disorder with minimal impairment of behaviour
1089821000000108,Moderate intellectual development disorder with impairment of behaviour
1089831000000105,Mild intellectual development disorder without significant impairment of behaviour
1089841000000101,Mild intellectual development disorder with significant impairment of behaviour
1089851000000103,Mild intellectual development disorder with minimal impairment of behaviour
1093991000000101,Mild intellectual development disorder with impairment of behaviour
1094001000000106,Intellectual development disorder without significant impairment of behaviour
1094011000000108,Intellectual development disorder with significant impairment of behaviour
1094021000000102,Intellectual development disorder with minimal impairment of behaviour
1094031000000100,Intellectual development disorder with impairment of behaviour
109478007,Kohlschutter's syndrome
110359009,Intellectual disability
111477005,"Reactive attachment disorder of infancy OR early childhood, disinhibited type"
1156584007,X-linked intellectual disability hypotonic face syndrome
1162462009,Angelman syndrome due to maternal monosomy 15q11q13
1163406003,Foreign accent syndrome
1167371007,"Polyhydramnios, megalencephaly, symptomatic epilepsy syndrome"
1167375003,"Microcephaly, corpus callosum and cerebellar vermis hypoplasia, facial dysmorphism, intellectual disability syndrome"
1169355000,"Brain malformations, musculoskeletal abnormalities, facial dysmorphism, intellectual disability syndrome"
1169359006,"Tall stature, intellectual disability, renal anomalies syndrome"
1172594000,"Congenital labioscrotal agenesis, cerebellar malformation, corneal dystrophy, facial dysmorphism syndrome"
