code,term
105526001,Homeless family
138087002,Homeless
138088007,Homeless family
138089004,Homeless single person
160699002,(Housing lack) or (homeless)
160700001,Homeless single person
224228000,Living rough
224229008,Sleeping out
224230003,Temporary shelter arrangements
224231004,Sleeping in night shelter
224232006,Sleeping at friends home
224233001,Sleeping in vehicle
224675009,Hostel for the homeless
266935003,Housing lack
266940006,Lives in squat
32911000,Homeless
364701009,Feature of homelessness
365510008,Finding of temporary shelter arrangements
381751000000106,Sofa surfer - person of no fixed abode
383961000000107,Length of time homeless
383971000000100,Length of time homeless 
383981000000103,Length of time homeless 
390818002,Homeless mental health care
442244004,Length of time homeless
