code,term
102911000,Thoughts of self harm
1163284000,Preoccupation with body shape
1220650006,Delusion of emitting foul body odor
12332005,Pseudologia fantastica
14003003,Monomania
141991000119109,Delusions in Alzheimer's disease
162314006,Harmful thoughts
162315007,Morbid thoughts
192014006,Psychogenic rumination
2073000,Delusions
216004,Delusion of persecution
225001006,Preoccupied with emotional problems
225445003,Intrusive thoughts
225446002,Positive self thoughts
225448001,Has imaginary friend
225449009,Bizarre thoughts
225450009,Homicidal thoughts
225451008,Believes television is bugged
225452001,Paranoid delusion
225635005,Anxiety about treatment
225636006,Anxiety about forced dependence
225637002,Anxiety about loss of control
225638007,Anxiety about resuming sexual relations
225639004,Worried about not coping with baby
225640002,Worried about being a bad father
225641003,Worried about being a bad mother
225642005,Anxiety about not coping with parenthood
225643000,Anxiety about making mistakes
225644006,Anxiety about altered body image
225660005,Believes phones are bugged
225661009,Positive thoughts
247621002,Expansive ideation
247623004,Exciting ideas
247624005,Unusually creative thinking
247631009,Persistent thoughts
247632002,Preoccupation
247633007,Preoccupation with compensation
247634001,Preoccupation with litigation
247635000,Sexual preoccupation
247636004,Preoccupation with appearance
247637008,Preoccupation with body size
247638003,Preoccupation with specific bodily feature
247650009,Planning suicide
247651008,Obscene thoughts
247652001,Sexually obscene thoughts
247653006,Negative automatic thoughts
247655004,Disinhibited thoughts
247658002,Creative thought
247667002,Grandiose delusions
247668007,Delusion of grandiose ability
247669004,Delusion of grandiose identity
247670003,Delusion of special mission
247671004,Religious delusion
247675008,Delusion associated with smell
247676009,Delusion associated with sexual hallucinations
247677000,Bizarre delusion associated with bodily sensation
247678005,Delusion of depersonalization
247679002,Nihilistic delusion
247680004,Delusion concerning appearance
247683002,Delusion of being loved
247684008,Delusion of catastrophe
247686005,Depressive delusion of catastrophe
247687001,Depressive delusion of poverty
247688006,Hypochondriacal delusion
247689003,Depressive hypochondriacal delusion
247691006,Delusion of replacement of will by external force
247692004,Delusion of control of voice
247693009,Delusion of control of handwriting
247696001,Delusion of own appearance
247776002,Depressive preoccupation
247808006,Anxiety about body function or health
247825008,Anxiety about behavior or performance
247872008,Obsessional thoughts of harm occurring to property
247873003,Obsessional thoughts of being robbed
247874009,Obsessional thoughts of fire
247875005,Obsessional thoughts of explosions
247876006,Obsessional thoughts of causing accidents
247877002,Obsessional thoughts of poisoning
247878007,Obsessional thoughts of giving others illness
247879004,Obsessional thoughts of contamination
247880001,Obsessional thoughts of disease
247881002,Obsessional thoughts of dirt
247882009,Obsessional thoughts of germs
247883004,Obsessional doubts
247884005,Obsessional thoughts of incompletion
247885006,Obsessional thoughts of throwing things away
25772007,Multi-infarct dementia with delusions
267073005,Suicidal
271559000,Obsessional thoughts of causing harm to others
271953006,Obsessional thoughts of causing harm to self
276236009,Comments on own thoughts
276237000,Comments on own reading
276238005,Comments on own writing
276240000,Comments on own actions
276243003,Primary delusions
276244009,Delusional memories
276303005,Preoccupation with death
276304004,Preoccupation with disaster
276305003,Preoccupation with ruin
276360005,Preoccupation with body weight
277818007,Anxiety about losing control of bowels
277819004,Anxiety about wetting self
277820005,Anxiety about vomiting in public
277821009,Anxiety about having a fit
277822002,Anxiety about choking
277823007,Anxiety about swallowing
277824001,Anxiety about collapsing
277825000,Anxiety about shaking
277826004,Anxiety about sweating
277827008,Anxiety about dying
277828003,Anxiety about going crazy
277829006,Anxiety about losing emotional control
277831002,Anxiety about becoming fat
277833004,Anxiety about fainting
277834005,Anxiety about having a heart attack
277838008,Anxiety about appearing ridiculous
277839000,Anxiety about saying the wrong thing
28116007,Passivity of drive
285261008,Dangerous and harmful thoughts
285262001,Thoughts of revenge
285263006,Thoughts of violence
285264000,Thoughts of arson
285265004,Dangerous plans
285266003,Dangerous fantasy
285267007,Thoughts of physical assault
285268002,Thoughts of sexual violence
285269005,Thoughts of raping
285270006,Plans to kill
285271005,Plans to assault
285272003,Plans to commit sexual crime
285273008,Plans to rape
285274002,Plans to set fire
285275001,Rape fantasy
285276000,Optimistic thoughts
285277009,Delusion of unworthiness
285294006,Pleasant fantasy
285295007,Pornographic fantasy
302759005,Guilty ideas of reference
304594002,Suicidal intent
307078008,Thought commentary
3185000,Mood-congruent delusion
323341000000102,Anxiety about lethargy
323351000000104,Anxiety about mood
357705009,Cotard's syndrome
365309002,Finding of use of imagination
40077001,Magical thinking
401010000,Patient concerned about eyesight
401229000,Thoughts of deliberate self harm
401230005,Plans for deliberate self harm without intent
401231009,Intent of deliberate self harm with detailed plans
40277007,Systematized delusion
41189006,Ideas of reference
413301003,Feels at risk of crime in the neighborhood
417233008,Paranoid ideation
424040008,Psychological pseudocyesis
425104003,Suicidal behavior
431432003,Anxiety about loss of memory
53108004,Delusion of guilt
53138005,Mood-incongruent delusion
58585005,Autochthonous delusion
64514005,Delusional perception
6471006,Suicidal thoughts
67348001,Delusional conclusion
67698009,Obsessional thoughts
702535006,Anxiety about breathlessness
711561004,Has access to planned means of suicide
712759008,Sense of impending doom
762622003,Referential thoughts
7684004,Fantasizing
77303001,Delusion of poverty
78205008,Irrational thoughts
788897000,Delusion of misidentification
79015004,Worried
81215003,Overvalued idea
82791007,Bizarre delusion
82870007,Pornographomania
8330006,Delusion of infidelity
83507006,Finding of thought content
86110000,Rumination - thoughts
86597007,Illogical thinking
89225005,Anxiety about blushing
89809008,Delusion of parasitosis
