code,term
1084061000000106,Depressive personality disorder
129606007,Frontal lobe syndrome
13601005,Paranoid personality disorder
1376001,Obsessive compulsive personality disorder
16805009,Cluster A personality disorder
191496002,Personality disorder caused by drug
191559008,Latent schizophrenia
191561004,Subchronic latent schizophrenia
191562006,Chronic latent schizophrenia
191563001,Acute exacerbation of subchronic latent schizophrenia
191564007,Acute exacerbation of chronic latent schizophrenia
191565008,Latent schizophrenia in remission
191753006,Hypomanic personality disorder
191765005,Emotionally unstable personality disorder
191766006,Psychoinfantile personality
191772006,Eccentric personality disorder
191773001,Immature personality disorder
191774007,Masochistic personality disorder
192073007,Change in personality
192097003,Isolated explosive disorder
192488005,[X]Personality disorder: [emotionally unstable] or [aggressive] or [borderline] or [explosive]
192527004,Elaboration of physical symptoms for psychological reasons
20010003,Borderline personality disorder
231452004,Limbic epilepsy personality syndrome
231453009,Lobotomy syndrome
231454003,Organic pseudopsychopathic personality
231455002,Organic pseudoretarded personality
231456001,Postleucotomy syndrome
231525006,Manipulative personality disorder
231526007,Fanatic personality
231527003,Explosive personality disorder
231528008,Anxious personality disorder
231530005,Post-concussional personality disorder
26665006,Antisocial personality disorder
268633003,Introverted personality disorder
268634009,Psychoneurotic personality disorder
274952002,Borderline schizophrenia
31027006,Schizotypal personality disorder
31611000,Multiple personality disorder
33449004,Personality disorder
36217008,Organic personality disorder
37746008,Avoidant personality disorder
40987004,Intermittent explosive disorder
4306003,Cluster B personality disorder
442057004,Chronic depressive personality disorder
442245003,Chronic hypomanic personality disorder
44966003,Passive aggressive personality disorder
46721000,Organic personality disorder caused by psychoactive substance
473456000,Compulsive personality disorder
473457009,Obsessional personality disorder
52954000,Schizoid personality disorder
55341008,Histrionic personality disorder
698690001,Avoidant personality disorder in remission
698699000,Antisocial personality disorder in remission
698700004,Borderline personality disorder in remission
80711002,Narcissistic personality disorder
83890006,Cluster C personality disorder
84466009,Dependent personality disorder
88845000,Explosive type organic personality disorder
