code,term
1089481000000106,Cataleptic schizophrenia
111482003,Subchronic schizophrenia with acute exacerbations
111483008,Catatonic schizophrenia in remission
111484002,Undifferentiated schizophrenia
12939007,Chronic disorganized schizophrenia
14291003,Subchronic disorganized schizophrenia with acute exacerbations
16990005,Subchronic schizophrenia
191526005,Schizophrenic disorders
191527001,Simple schizophrenia
191531007,Acute exacerbation of chronic schizophrenia
191542003,Catatonic schizophrenia
191547009,Acute exacerbation of subchronic catatonic schizophrenia
191548004,Acute exacerbation of chronic catatonic schizophrenia
191554003,Acute exacerbation of subchronic paranoid schizophrenia
191555002,Acute exacerbation of chronic paranoid schizophrenia
191563001,Acute exacerbation of subchronic latent schizophrenia
191577003,Cenesthopathic schizophrenia
247804008,Schizophrenic prodrome
26025008,Residual schizophrenia
26472000,Paraphrenia
268617001,Acute schizophrenic episode
27387000,Subchronic disorganized schizophrenia
29599000,Chronic undifferentiated schizophrenia
30336007,Chronic residual schizophrenia with acute exacerbations
31373002,Disorganized schizophrenia in remission
31658008,Chronic paranoid schizophrenia
35218008,Chronic disorganized schizophrenia with acute exacerbation
35252006,Disorganized schizophrenia
38295006,Involutional paraphrenia
39610001,Undifferentiated schizophrenia in remission
416340002,Late onset schizophrenia
42868002,Subchronic catatonic schizophrenia
441833000,Lethal catatonia
4926007,Schizophrenia in remission
51133006,Residual schizophrenia in remission
58214004,Schizophrenia
63181006,Paranoid schizophrenia in remission
64905009,Paranoid schizophrenia
68995007,Chronic catatonic schizophrenia
7025000,Subchronic undifferentiated schizophrenia with acute exacerbations
70814008,Subchronic residual schizophrenia with acute exacerbations
71103003,Chronic residual schizophrenia
76566000,Subchronic residual schizophrenia
79204003,Chronic undifferentiated schizophrenia with acute exacerbations
79866005,Subchronic paranoid schizophrenia
83746006,Chronic schizophrenia
85861002,Subchronic undifferentiated schizophrenia
