code,term
1366201000000108,History of self-injurious behaviour in community
1366211000000105,History of self-injurious behaviour in secure estate
138746009,H/O: deliberate self harm
161475004,H/O: deliberate self harm
222160001,"[X]Intentional self harm by hanging, strangulation and suffocation"
222161002,"[X]Intentional self harm by hanging, strangulation and suffocation, occurrence at home"
222162009,"[X]Intentional self harm by hanging, strangulation and suffocation, occurrence in residential institution"
222163004,"[X]Intentional self harm by hanging, strangulation and suffocation, occurrence at school, other institution and public administrative area"
222164005,"[X]Intentional self harm by hanging, strangulation and suffocation, occurrence at sports and athletics area"
222165006,"[X]Intentional self harm by hanging, strangulation and suffocation, occurrence on street and highway"
222166007,"[X]Intentional self harm by hanging, strangulation and suffocation, occurrence at trade and service area"
222167003,"[X]Intentional self harm by hanging, strangulation and suffocation, occurrence at industrial and construction area"
222168008,"[X]Intentional self harm by hanging, strangulation and suffocation, occurrence on farm"
222169000,"[X]Intentional self harm by hanging, strangulation and suffocation, occurrence at other specified place"
222170004,"[X]Intentional self harm by hanging, strangulation and suffocation, occurrence at unspecified place"
222171000,[X]Intentional self harm by drowning and submersion
222172007,"[X]Intentional self harm by drowning and submersion, occurrence at home"
222173002,"[X]Intentional self harm by drowning and submersion, occurrence in residential institution"
222174008,"[X]Intentional self harm by drowning and submersion, occurrence at school, other institution and public administrative area"
222175009,"[X]Intentional self harm by drowning and submersion, occurrence at sports and athletics area"
222176005,"[X]Intentional self harm by drowning and submersion, occurrence on street and highway"
222177001,"[X]Intentional self harm by drowning and submersion, occurrence at trade and service area"
222178006,"[X]Intentional self harm by drowning and submersion, occurrence at industrial and construction area"
222179003,"[X]Intentional self harm by drowning and submersion, occurrence on farm"
222180000,"[X]Intentional self harm by drowning and submersion, occurrence at other specified place"
222181001,"[X]Intentional self harm by drowning and submersion, occurrence at unspecified place"
222182008,[X]Intentional self harm by handgun discharge
222183003,"[X]Intentional self harm by handgun discharge, occurrence at home"
222184009,"[X]Intentional self harm by handgun discharge, occurrence in residential institution"
222185005,"[X]Intentional self harm by handgun discharge, occurrence at school, other institution and public administrative area"
222186006,"[X]Intentional self harm by handgun discharge, occurrence at sports and athletics area"
222187002,"[X]Intentional self harm by handgun discharge, occurrence on street and highway"
222188007,"[X]Intentional self harm by handgun discharge, occurrence at trade and service area"
222189004,"[X]Intentional self harm by handgun discharge, occurrence at industrial and construction area"
222190008,"[X]Intentional self harm by handgun discharge, occurrence on farm"
222191007,"[X]Intentional self harm by handgun discharge, occurrence at other specified place"
