code,term
10327003,Cocaine-induced mood disorder
10741871000119101,Alcohol dependence in pregnancy
10755041000119100,Alcohol dependence in childbirth
1087451000000109,Late onset alcohol-induced psychosis
1087481000000103,Late onset cocaine-induced psychosis
1087501000000107,Late onset cannabinoid-induced psychosis
1094151000000108,Harmful use of alcohol
1094161000000106,Harmful use of amphetamine
1094171000000104,Harmful use of cannabis
1094181000000102,Harmful use of Catha edulis
1094191000000100,Harmful use of cocaine
1094201000000103,Harmful use of hallucinogen
1094211000000101,Harmful use of inhalant
1094221000000107,Harmful use of methanol
1094231000000109,Harmful use of opioid
1094241000000100,Harmful use of sedative
1094251000000102,Harmful use of barbiturate
1094261000000104,Harmful use of stimulant
1094271000000106,Harmful use of synthetic cannabinoid
1094281000000108,Harmful use of synthetic cathinone
1099141000000106,Referral to alcohol misuse service
11047881000119101,Cannabis hyperemesis syndrome co-occurrent and due to cannabis abuse
11048011000119103,Cannabis hyperemesis syndrome co-occurrent and due to cannabis dependence
112891000000107,Referral to community drug dependency team
1149328002,Cannabis poisoning
1149333003,Acute alcohol intoxication
1153338005,Osteonecrosis caused by alcohol
117071000000103,Referral to community drug dependency team
1187220002,Disorder caused by cocaine
1197724009,Duodenal ulcer caused by alcohol
121811000000104,Referral to community drug dependency team
1230071005,"Amfetamine and/or amfetamine derivative abuse, episodic"
1230072003,"Amfetamine and/or amfetamine derivative abuse, continuous"
1230074002,"Nondependent hypnotic abuse, episodic"
1230075001,"Nondependent anxiolytic abuse, episodic"
1230076000,"Nondependent anxiolytic abuse, continuous"
1230077009,"Nondependent hypnotic abuse, continuous"
1230078004,Nondependent anxiolytic abuse in remission
1230079007,Nondependent hypnotic abuse in remission
1230080005,Nondependent anxiolytic abuse
1230081009,Nondependent hypnotic abuse
1230082002,Nondependent psychostimulant abuse in remission
1230083007,Nondependent amfetamine and/or amfetamine derivative abuse in remission
1230084001,"Nondependent psychostimulant abuse, continuous"
1230085000,"Nondependent amfetamine and/or amfetamine derivative, continuous"
1230086004,"Nondependent psychostimulant abuse, episodic"
1230087008,"Nondependent amfetamine and/or amfetamine derivative abuse, episodic"
1230088003,Nondependent amfetamine and/or amfetamine derivative abuse
1230089006,Nondependent psychostimulant abuse
1230266009,Amfetamine and/or amfetamine derivative abuse in remission
1231846001,Psychosis caused by ethanol
1234750000,Dilated cardiomyopathy caused by ethanol
1234767007,Duodenitis caused by ethanol
1234772003,Neurological disorder caused by ethanol
1234774002,Cognitive impairment caused by ethanol
1234776000,Sleep disorder caused by ethanol
1234778004,Steatohepatitis caused by ethanol
1234779007,Mood disorder caused by ethanol
1234780005,Mood disorder with mixed manic and depressive symptoms caused by ethanol
1234781009,Mood disorder with manic symptoms caused by ethanol
1234782002,Mood disorder with depressive symptoms caused by ethanol
1234783007,Organic mental disorder caused by ethanol
125851000119106,Continuous sedative abuse
133301000119102,Degenerative brain disorder caused by alcohol
135301000119103,Parasomnia caused by alcohol
135311000119100,Insomnia caused by alcohol
135321000119107,Hypersomnia caused by alcohol
135331000119105,Disorder of sleep-wake cycle caused by alcohol
145101000119102,Intravenous cocaine abuse
145841000119107,Episodic phencyclidine abuse
15167005,Alcohol abuse
16077051000119102,Tobacco dependence caused by cigarettes in remission
16077091000119107,Tobacco dependence caused by cigarettes
16077171000119107,Tobacco dependence caused by chewing tobacco
18653004,Alcohol intoxication delirium
188201000000102,Referral to community drug and alcohol team
191471000,Korsakov's alcoholic psychosis with peripheral neuritis
191475009,Chronic alcoholic brain syndrome
191476005,Alcohol withdrawal hallucinosis
191478006,Alcoholic paranoia
191480000,Alcohol withdrawal syndrome
191701000000100,Referral to community drug and alcohol team
191811004,Continuous chronic alcoholism
191812006,Episodic chronic alcoholism
191813001,Chronic alcoholism in remission
191831000,"Cocaine dependence, continuous"
191832007,"Cocaine dependence, episodic"
191833002,Cocaine dependence in remission
191837001,"Cannabis dependence, continuous"
191838006,"Cannabis dependence, episodic"
191839003,Cannabis dependence in remission
191882002,"Nondependent alcohol abuse, continuous"
191883007,"Nondependent alcohol abuse, episodic"
191884001,Nondependent alcohol abuse in remission
191887008,"Tobacco dependence, continuous"
191888003,"Tobacco dependence, episodic"
191889006,Tobacco dependence in remission
191891003,Nondependent cannabis abuse
191893000,"Nondependent cannabis abuse, continuous"
191894006,"Nondependent cannabis abuse, episodic"
191895007,Nondependent cannabis abuse in remission
191899001,"Nondependent hallucinogen abuse, continuous"
191900006,"Nondependent hallucinogen abuse, episodic"
191901005,Nondependent hallucinogen abuse in remission
191916008,Nondependent cocaine abuse
191918009,"Nondependent cocaine abuse, continuous"
191919001,"Nondependent cocaine abuse, episodic"
191920007,Nondependent cocaine abuse in remission
191928000,Abuse of antidepressant drug
191930003,"Nondependent antidepressant type drug abuse, continuous"
191931004,"Nondependent antidepressant type drug abuse, episodic"
191932006,Nondependent antidepressant type drug abuse in remission
192811002,Alcoholic encephalopathy
19303008,Alcohol myopathy
2043009,Alcoholic gastritis
204641000000107,Episodic nondependent crack cocaine abuse
205788004,Fetal alcohol syndrome
205791004,Fetal or neonatal effect of maternal use of alcohol
21007002,Wernicke's disease
216583009,Accidental poisoning caused by cocaine
216633005,Accidental poisoning caused by alcoholic beverage
216635003,Accidental poisoning caused by denatured alcohol
216636002,Accidental poisoning caused by methylated spirit
218791008,Adverse reaction caused by cannabis
22574000,Cocaine-induced sleep disorder
230353003,Morel laminar sclerosis
230800004,Alcoholic coma
231467000,Absinthe addiction
234341005,Alcohol-related macrocytosis
234366009,Alcohol-related sideroblastic anemia
23527004,Cannabis intoxication
235875008,Alcoholic hepatitis
235880004,Alcoholic fibrosis and sclerosis of liver
235881000,Alcoholic hepatic failure
235942001,Alcohol-induced acute pancreatitis
235952002,Alcohol-induced chronic pancreatitis
237641009,Alcohol-induced hypoglycemia
237738005,Alcohol-induced pseudo-Cushing's syndrome
241761001,Poisoning caused by crack cocaine
254250002,Fetal cocaine syndrome
25702006,Alcohol intoxication
26714005,Cannabis-induced psychotic disorder with hallucinations
268645007,Nondependent alcohol abuse
268646008,Nondependent hallucinogen abuse
278363000,Alcoholic macrocytosis
27956007,Cocaine intoxication
281004,Dementia associated with alcoholism
284591009,Persistent alcohol abuse
287166006,Accidental poisoning with ethyl alcohol
288021000119107,Disorder due to alcohol abuse
288031000119105,Alcohol induced disorder co-occurrent and due to alcohol dependence
290412009,Nabilone poisoning
290413004,Accidental nabilone poisoning
290414005,Intentional nabilone poisoning
290544006,Intentional cocaine poisoning
291246000,Accidental cannabis poisoning
