code,term
129712007,At risk for suicide
139483003,Suicidal (& [symptom])
139586008,Suicidal thoughts
139588009,Planning suicide
139589001,Suicide risk
162198003,Suicidal (& [symptom])
162316008,Planning suicide
162317004,Suicide risk
225457007,Feeling suicidal
247650009,Planning suicide
267073005,Suicidal
271950009,Suicidal thoughts
304594002,Suicidal intent
3161000175102,Suicide risk
392726008,High suicide risk
392727004,Moderate suicide risk
393681002,High suicide risk
393682009,Moderate suicide risk
394685004,High suicide risk
394686003,Moderate suicide risk
41501003,Threatening suicide
425104003,Suicidal behavior
6471006,Suicidal thoughts
711561004,Has access to planned means of suicide
8521000175109,Suicide plan
