code,term
1084201000119108,Objective tinnitus of bilateral ears
1084631000119104,Subjective tinnitus of bilateral ears
1089271000119104,Objective tinnitus of left ear
1089631000119100,Subjective tinnitus of left ear
1091881000119100,Objective tinnitus of right ear
1092241000119104,Subjective tinnitus of right ear
194393005,Unspecified tinnitus
194395003,Tinnitus NOS
28715001,Objective tinnitus
300200005,Finding of tinnitus
4831000119102,Bilateral tinnitus
568001000000104,Tinnitus NOS
60862001,Tinnitus
62452009,Subjective tinnitus
643771000000102,Unspecified tinnitus
866003005,Tonal tinnitus
95822008,Clicking tinnitus
95823003,Leudet's tinnitus
95824009,Nervous tinnitus
95825005,Non-vibratory tinnitus
95826006,Vibratory tinnitus
