code,term
111490003,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND severe panic attacks"
111491004,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in partial remission"
11941006,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in full remission"
1380006,Agoraphobia without history of panic disorder with limited symptom attacks
154885006,Agoraphobia
164421000000104,H/O: agoraphobia
171701000000106,H/O: agoraphobia
1816003,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND mild panic attacks"
191722009,Agoraphobia with panic attacks
191723004,Agoraphobia without mention of panic attacks
192394003,[X] Agoraphobia (& [without history of panic disorder] or [with panic disorder])
19766004,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND severe panic attacks"
22230001,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in full remission"
24781009,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in full remission"
30059008,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND moderate panic attacks"
3158007,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in partial remission"
31781004,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND mild panic attacks"
32388005,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND moderate panic attacks"
34116005,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND severe panic attacks"
348651000000104,Flooding - agoraphobia
35607004,Panic disorder with agoraphobia
38328002,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in full remission"
414371008,History of agoraphobia
450753009,Mobility inventory for agoraphobia
450754003,Assessment using mobility inventory for agoraphobia
4932002,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND mild panic attacks"
49564006,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND moderate panic attacks"
50983008,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in partial remission"
5509004,Panic disorder with agoraphobia AND severe panic attacks
59923000,Panic disorder with agoraphobia AND panic attacks in full remission
61212007,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND severe panic attacks"
61569007,Agoraphobia without history of panic disorder
63701002,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND mild panic attacks"
63909006,Panic disorder with agoraphobia AND panic attacks in partial remission
64060000,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND panic attacks in full remission"
70691001,Agoraphobia
74010007,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in partial remission"
76812003,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND panic attacks in partial remission"
76868007,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND mild panic attacks"
803491000000107,Mobility inventory for agoraphobia
803501000000101,Assessment using mobility inventory for agoraphobia
8185002,Panic disorder with agoraphobia AND moderate panic attacks
82415003,Agoraphobia without history of panic disorder without limited symptom attacks
82738004,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND moderate panic attacks"
83631006,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND severe panic attacks"
87798009,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND moderate panic attacks"
89948007,Panic disorder with agoraphobia AND mild panic attacks
