code,term
10741871000119101,Alcohol dependence in pregnancy
10755041000119100,Alcohol dependence in childbirth
1087451000000109,Late onset alcohol-induced psychosis
1099141000000106,Referral to alcohol misuse service
1149333003,Acute alcohol intoxication
1153338005,Osteonecrosis caused by alcohol
1197724009,Duodenal ulcer caused by alcohol
1231846001,Psychosis caused by ethanol
1234750000,Dilated cardiomyopathy caused by ethanol
1234767007,Duodenitis caused by ethanol
1234772003,Neurological disorder caused by ethanol
1234774002,Cognitive impairment caused by ethanol
1234776000,Sleep disorder caused by ethanol
1234778004,Steatohepatitis caused by ethanol
1234779007,Mood disorder caused by ethanol
1234780005,Mood disorder with mixed manic and depressive symptoms caused by ethanol
1234781009,Mood disorder with manic symptoms caused by ethanol
1234782002,Mood disorder with depressive symptoms caused by ethanol
1234783007,Organic mental disorder caused by ethanol
133301000119102,Degenerative brain disorder caused by alcohol
135301000119103,Parasomnia caused by alcohol
135311000119100,Insomnia caused by alcohol
135321000119107,Hypersomnia caused by alcohol
135331000119105,Disorder of sleep-wake cycle caused by alcohol
15167005,Alcohol abuse
18653004,Alcohol intoxication delirium
188201000000102,Referral to community drug and alcohol team
191471000,Korsakov's alcoholic psychosis with peripheral neuritis
191475009,Chronic alcoholic brain syndrome
191476005,Alcohol withdrawal hallucinosis
191478006,Alcoholic paranoia
191480000,Alcohol withdrawal syndrome
191701000000100,Referral to community drug and alcohol team
191811004,Continuous chronic alcoholism
191812006,Episodic chronic alcoholism
191813001,Chronic alcoholism in remission
191882002,"Nondependent alcohol abuse, continuous"
191883007,"Nondependent alcohol abuse, episodic"
191884001,Nondependent alcohol abuse in remission
192811002,Alcoholic encephalopathy
19303008,Alcohol myopathy
2043009,Alcoholic gastritis
205788004,Fetal alcohol syndrome
205791004,Fetal or neonatal effect of maternal use of alcohol
21007002,Wernicke's disease
216633005,Accidental poisoning caused by alcoholic beverage
216635003,Accidental poisoning caused by denatured alcohol
216636002,Accidental poisoning caused by methylated spirit
230353003,Morel laminar sclerosis
230800004,Alcoholic coma
231467000,Absinthe addiction
234341005,Alcohol-related macrocytosis
234366009,Alcohol-related sideroblastic anemia
235875008,Alcoholic hepatitis
235880004,Alcoholic fibrosis and sclerosis of liver
235881000,Alcoholic hepatic failure
235942001,Alcohol-induced acute pancreatitis
235952002,Alcohol-induced chronic pancreatitis
237641009,Alcohol-induced hypoglycemia
237738005,Alcohol-induced pseudo-Cushing's syndrome
25702006,Alcohol intoxication
268645007,Nondependent alcohol abuse
278363000,Alcoholic macrocytosis
281004,Dementia associated with alcoholism
284591009,Persistent alcohol abuse
287166006,Accidental poisoning with ethyl alcohol
288021000119107,Disorder due to alcohol abuse
288031000119105,Alcohol induced disorder co-occurrent and due to alcohol dependence
292881006,Industrial methylated spirit adverse reaction
300992002,Alcohol-induced cerebellar ataxia
307757001,Chronic alcoholic hepatitis
308692003,Alcohol-induced flushing
314539001,Alcohol related optic neuropathy
335851000000105,Referral to specialist alcohol treatment service
335861000000108,Referral to specialist alcohol treatment service 
335871000000101,Referral to specialist alcohol treatment service 
34938008,Anxiety disorder caused by alcohol
361268000,Alcohol-induced epilepsy
361272001,Cerebellar ataxia due to alcoholism
361273006,Alcoholic cerebellar degeneration
366371000000105,Brief intervention for excessive alcohol consumption completed
366381000000107,Brief intervention for excessive alcohol consumption 
366391000000109,Brief intervention for excessive alcohol consumption 
366421000000103,Extended intervention for excessive alcohol consumption completed
366431000000101,Extended intervention for excessive alcohol consumption completed 
366441000000105,Extended intervention for excessive alcohol consumption completed 
376401000000103,Referral to alcohol brief intervention service
376411000000101,Referral to alcohol brief intervention service 
376421000000107,Referral to alcohol brief intervention service 
379411000000105,Brief intervention for excessive alcohol consumption declined
380861000000109,Declined referral to specialist alcohol treatment service
380871000000102,Declined referral to specialist alcohol treatment service 
380881000000100,Declined referral to specialist alcohol treatment service 
389933003,Referral to community alcohol team
390667003,Referral to community alcohol team
390857005,Referral to community alcohol team
41309000,Alcoholic liver damage
417096006,Referral to community drug and alcohol team
420054005,Alcoholic cirrhosis
431260004,Referral to specialist alcohol treatment service
44047000,Zieve's syndrome
442444001,Referral to specialist alcohol treatment service declined by patient
445507008,Inflammation of pancreas caused by alcohol
50325005,Alcoholic fatty liver
609437000,Fetal Alcohol Spectrum Disorder
609438005,Fetal or neonatal effect of maternal alcohol addiction
61144001,Alcohol-induced psychotic disorder with delusions
66590003,Alcohol dependence
69482004,Korsakoff's psychosis
698321001,Neonatal effect of alcohol transmitted via breast milk
699208000,Thrombocytopenia caused by alcohol
7052005,Alcohol hallucinosis
713181003,Chronic alcoholic liver disease
713370005,Acute on chronic alcoholic liver disease
713583005,Mild alcohol dependence
713862009,Severe alcohol dependence
714829008,Moderate alcohol dependence
719848005,Disorder caused by alcohol
7200002,Alcoholism
721710005,Fibrosis of liver caused by alcohol
723103002,Gastric ulcer caused by alcohol
723926008,Perceptual disturbances and seizures co-occurrent and due to alcohol withdrawal
723927004,Psychotic disorder caused by alcohol with schizophreniform symptoms
73097000,Alcohol amnestic disorder
754831000000102,Extended intervention for excessive alcohol consumption declined
754841000000106,Extended intervention for excessive alcohol consumption declined 
781191000000101,Referral to community alcohol team declined
781201000000104,Referral to community alcohol team declined 
7916009,Alcoholic polyneuropathy
809401000000103,Referral to alcohol misuse clinic
82047000,Diarrhea caused by alcohol intake
82782008,Toxic effect of ethyl alcohol
838376007,Chronic myopathy caused by alcohol
838386008,Acute alcoholic myopathy
85561006,Uncomplicated alcohol withdrawal
8635005,Alcohol withdrawal delirium
87810006,Megaloblastic anemia due to alcoholism
89507002,Toxic effect of denatured alcohol
933641000000103,Referral to mental health services deferred until alcohol misuse resolved
933651000000100,Referral to mental health services deferred until alcohol misuse resolved 
97571000119109,Thrombocytopenia co-occurrent and due to alcoholism
9953008,Acute alcoholic liver disease
