code,term
146710008,Emergency contraception advice
146747008,Post-coital contraception (& [morning-after pill])
146750006,Postcoital contraception NOS
146779004,Postcoital contraception NOS
146787003,Emergency contraception
169474003,Emergency contraception advice
169514006,Post-coital contraception (& [morning-after pill])
169517004,Postcoital contraception NOS
169546006,Postcoital contraception NOS
169557001,Emergency contraception
275813002,Emergency contraception
46051000119101,Prescription of emergency contraception done
554531000000103,Postcoital contraception NOS
702587005,Prescription of emergency contraception
704104007,Advised to use emergency contraception
789527006,Postcoital oral contraceptive given
867451000000107,Emergency contraception indicated
867461000000105,Emergency contraception indicated 
