code,term
1186821000,Developmental academic disorder due to deficiency of micronutrients
1186823002,Developmental academic disorder due to nutritional stunting
1186826005,Developmental academic disorder due to iron deficiency
1186832000,Developmental academic disorder due to iodine deficiency
1855002,Developmental academic disorder
192136006,Specific reading disorder
192575009,Mixed disorder of scholastic skills
268738002,Specific spelling disorder
359661001,Specific number difficulty
443735008,Nonverbal learning disorder
45677003,Developmental expressive writing disorder
47916000,Developmental arithmetic disorder
508171000000105,Severe learning disability
52824009,Developmental reading disorder
717223008,X-linked epilepsy with learning disability and behavior disorder syndrome
724564005,Intellectual developmental disorder due to nutritional deficiency
889211000000104,Specific learning disability
954731000000103,Intellectual development disorder of unknown aetiology
984661000000105,Mild learning disability
984671000000103,Moderate learning disability
984681000000101,Profound learning disability
