code,term
1084061000000106,Depressive personality disorder
10875004,"Severe mixed bipolar I disorder with psychotic features, mood-incongruent"
1089481000000106,Cataleptic schizophrenia
10981006,Severe mixed bipolar I disorder with psychotic features
111482003,Subchronic schizophrenia with acute exacerbations
111483008,Catatonic schizophrenia in remission
111484002,Undifferentiated schizophrenia
111485001,Mixed bipolar I disorder in full remission
1196001,"Chronic bipolar II disorder, most recent episode major depressive"
12939007,Chronic disorganized schizophrenia
129606007,Frontal lobe syndrome
12969000,"Severe bipolar II disorder, most recent episode major depressive, in full remission"
133091000119105,Rapid cycling bipolar I disorder
13313007,Mild bipolar disorder
13581000,"Severe bipolar I disorder, single manic episode with psychotic features, mood-congruent"
13601005,Paranoid personality disorder
13746004,Bipolar disorder
1376001,Obsessive compulsive personality disorder
14291003,Subchronic disorganized schizophrenia with acute exacerbations
14495005,"Severe bipolar I disorder, single manic episode without psychotic features"
1499003,"Bipolar I disorder, single manic episode with postpartum onset"
162004,Severe manic bipolar I disorder without psychotic features
16238741000119105,Bipolar disorder caused by drug
16295005,"Bipolar II disorder, most recent episode major depressive"
16506000,Mixed bipolar I disorder
16805009,Cluster A personality disorder
16990005,Subchronic schizophrenia
17782008,"Bipolar I disorder, most recent episode manic with catatonic features"
1855002,Developmental academic disorder
191496002,Drug-induced personality disorder
191526005,Schizophrenic disorders
191527001,Simple schizophrenia
191531007,Acute exacerbation of chronic schizophrenia
191542003,Catatonic schizophrenia
191547009,Acute exacerbation of subchronic catatonic schizophrenia
191548004,Acute exacerbation of chronic catatonic schizophrenia
191554003,Acute exacerbation of subchronic paranoid schizophrenia
191555002,Acute exacerbation of chronic paranoid schizophrenia
191559008,Latent schizophrenia
191561004,Subchronic latent schizophrenia
191562006,Chronic latent schizophrenia
191563001,Acute exacerbation of subchronic latent schizophrenia
191564007,Acute exacerbation of chronic latent schizophrenia
191565008,Latent schizophrenia in remission
191577003,Cenesthopathic schizophrenia
191618007,"Bipolar affective disorder, current episode manic"
191620005,"Bipolar affective disorder, currently manic, mild"
191621009,"Bipolar affective disorder, currently manic, moderate"
191623007,"Bipolar affective disorder, currently manic, severe, with psychosis"
191625000,"Bipolar affective disorder, currently manic, in full remission"
191627008,"Bipolar affective disorder, current episode depression"
191629006,"Bipolar affective disorder, currently depressed, mild"
191630001,"Bipolar affective disorder, currently depressed, moderate"
191634005,"Bipolar affective disorder, currently depressed, in full remission"
191636007,Mixed bipolar affective disorder
191638008,"Mixed bipolar affective disorder, mild"
191639000,"Mixed bipolar affective disorder, moderate"
191641004,"Mixed bipolar affective disorder, severe, with psychosis"
191643001,"Mixed bipolar affective disorder, in full remission"
191753006,Hypomanic personality disorder
191765005,Emotionally unstable personality disorder
191766006,Psychoinfantile personality
191772006,Eccentric personality disorder
191773001,Immature personality disorder
191774007,Masochistic personality disorder
192073007,Change in personality
192080009,Chronic depression
192097003,Isolated explosive disorder
192136006,Specific reading disorder
192362008,"Bipolar affective disorder, current episode mixed"
192488005,[X]Personality disorder: [emotionally unstable] or [aggressive] or [borderline] or [explosive]
192527004,Elaboration of physical symptoms for psychological reasons
192575009,Mixed disorder of scholastic skills
19300006,"Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-congruent"
19694002,Late onset dysthymia
20010003,Borderline personality disorder
20960007,"Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-incongruent"
21900002,"Bipolar I disorder, most recent episode depressed with catatonic features"
22121000,Depressed bipolar I disorder in full remission
22407005,"Bipolar II disorder, most recent episode major depressive with catatonic features"
231444002,Organic bipolar disorder
231452004,Limbic epilepsy personality syndrome
231453009,Lobotomy syndrome
231454003,Organic pseudopsychopathic personality
231455002,Organic pseudoretarded personality
231456001,Postleucotomy syndrome
231525006,Manipulative personality disorder
231526007,Fanatic personality
231527003,Explosive personality disorder
231528008,Anxious personality disorder
231530005,Post-concussional personality disorder
23741000119105,Severe manic bipolar I disorder
247804008,Schizophrenic prodrome
2506003,Early onset dysthymia
26025008,Residual schizophrenia
