code,term
412758008,History of medical termination of pregnancy (situation)
160281003,Family history: Syphilis (situation)
125681006,Single person (finding)
160492004,Single (& [unmarried]) (finding)
87915002,Married (finding)
160493009,Married (& [remarried] or [newly wed]) (finding)
278836005,Remarried (finding)
278837001,Newly wed (finding)
13184001,Separated (finding)
160494003,(Separated (& [from cohabitee]) or (left home: [husband] or [wife] or [cohabitee])) (finding)
276125006,Separated from cohabitee (finding)
276126007,Husband left home (finding)
276127003,Wife left home (finding)
276128008,Cohabitee left home (finding)
20295000,Divorced (finding)
33553000,Widowed (finding)
38070000,Cohabiting (finding)
160496001,Adopted (finding)
160497005,Fostered (finding)
160498000,School child (occupation)
275881005,History of sexually transmitted disease (situation)
161754008,H/O: abortion (& [termination]) (situation)
267014009,History of abortion (situation)
713651007,History of pregnancy with abortive outcome (situation)
412758008,History of medical termination of pregnancy (situation)
161798008,History of female infertility (situation)
87727006,Infertility study (procedure)
164818004,Infertility investigation: [fem] or [NOS] (procedure)
164827003,Investigations for male infertility (procedure)
165780000,Syphilis titer test negative (finding)
165781001,Syphilis titer test positive (finding)
165782008,Wassermann reaction (procedure)
1028721000000102,Wassermann reaction (observable entity)
7786006,Venereal Disease Research Laboratory test (procedure)
1015581000000108,Venereal Disease Research Laboratory test (observable entity)
165783003,(T.P.I test) or (T pallidum immobilisation)
252407006,Treponema pallidum immobilization test (procedure)
167766008,Semen examination: infertile (finding)
169589005,Antenatal care: history of infertility (situation)
169595006,Antenatal care: history of child abuse (situation)
39245003,Child guidance education (procedure)
10383002,Counseling for termination of pregnancy (procedure)
171120003,Trachoma screening (procedure)
171121004,Human immunodeficiency virus screening (procedure)
171122006,Hepatitis B screening (procedure)
171128005,Venereal disease screening (procedure)
171392008,Prison medical examination (procedure)
125680007,Marital status (observable entity)
184184000,"Adopted,re-reg.-new name: [FP22] or [GP22] (finding)"
308641006,Patient deregistration status (finding)
2591000000104,"FP22 - adopted, re-registration - new name (finding)"
5211000000103,Therapeutic abortion form status (finding)
9401000000103,HSA1 form eligible (finding)
5211000000103,Therapeutic abortion form status (finding)
9411000000101,HSA1 form signed (finding)
5211000000103,Therapeutic abortion form status (finding)
9421000000107,HSA1 form refused to sign (finding)
161755009,No history of abortion (situation)
161756005,History of one abortion (situation)
161757001,History of two abortions (situation)
161758006,History of three abortions (situation)
161759003,History of four abortions (situation)
161760008,History of five abortions (situation)
161761007,History of six abortions (situation)
164819007,Female infertility test normal (finding)
164820001,Female infertility test abnormal (finding)
225326008,Counseling following termination of pregnancy (procedure)
225327004,Counseling prior to the termination of pregnancy (procedure)
171123001,Hepatitis B screening required (finding)
174338005,Cauterization of perianal warts NEC (procedure)
174341001,Cauterization of lesion of anus (procedure)
174342008,Cryotherapy to perianal warts (procedure)
174343003,Painting of perianal warts (procedure)
18302006,Therapeutic abortion by hysterotomy (procedure)
176821001,Dilation cervix uteri and curettage products of conception (& [termination] or [retained]) (procedure)
265062002,Dilation of cervix uteri and curettage of products of conception from uterus (procedure)
274972007,Dilatation of cervix and curettage of retained products of conception (procedure)
274973002,Dilation of cervix uteri and curettage for termination of pregnancy (procedure)
176820000,Curettage of uterus (procedure)
176822008,Curettage products conception: [uterus NEC (& retained)] or [termination NEC] (procedure)
274973002,Dilation of cervix uteri and curettage for termination of pregnancy (procedure)
451014004,Curettage of products of conception from uterus (procedure)
60330007,Aspiration curettage of uterus for termination of pregnancy (procedure)
391897002,Aspiration curettage of uterus for termination of pregnancy (procedure)
29682007,Dilation and curettage for termination of pregnancy (procedure)
176831008,Termination of pregnancy NEC (procedure)
302375005,Operative termination of pregnancy (procedure)
386639001,Termination of pregnancy (procedure)
176833006,Dilation of cervix uteri and curettage of uterus for removal of missed abortion (procedure)
177038005,Endoscopic transurethral ultrasound directed oocyte recovery (procedure)
177039002,Endoscopic transvesical oocyte recovery (procedure)
177042008,Transvaginal oocyte recovery (procedure)
149882000,Dilation of cervix uteri and curettage of products of conception from uterus (procedure)
236883005,Evacuation of retained product of conception (procedure)
265062002,Dilation of cervix uteri and curettage of products of conception from uterus (procedure)
149991000,Other fetal pregnancy removal operation (procedure)
386639001,Termination of pregnancy (procedure)
149994008,Other fetus removal NOS (procedure)
386639001,Termination of pregnancy (procedure)
149995009,Operative termination of pregnancy (procedure)
302375005,Operative termination of pregnancy (procedure)
149996005,TOP - amniotic injection (procedure)
288045002,Injection of amnion for termination of pregnancy (procedure)
149997001,Suction termination of pregnancy (procedure)
391897002,Aspiration curettage of uterus for termination of pregnancy (procedure)
149998006,Termination of pregnancy operation NOS (procedure)
302375005,Operative termination of pregnancy (procedure)
151841008,Refer to TOP counselling (procedure)
183606009,Referral for counseling for termination of pregnancy (procedure)
415262008,Referral for termination of pregnancy (procedure)
152229008,Requests pregnancy termination (situation)
184005004,Requests pregnancy termination (situation)
153232001,Reason for termination of pregnancy (procedure)
310506006,Reason for termination of pregnancy (observable entity)
57797005,Induced termination of pregnancy (disorder)
156075007,Induced abortion (disorder)
49632008,Illegally induced abortion (disorder)
156077004,Illegally induced abortion (disorder)
49416000,Failed attempted abortion (disorder)
156078009,Failed attempted abortion (disorder)
156088005,Complication following abortion (disorder)
609446006,Induced termination of pregnancy with complication (disorder)
156091005,Damage to pelvic organs or tissues following abortive pregnancy (disorder)
198832001,Damage to pelvic organs or tissues following abortive pregnancy (disorder)
159833006,Inseminator (occupation)
160390008,Family history: Male infertility (situation)
160391007,Family history: Female infertility (situation)
7542004,Personal status (observable entity)
125680007,Marital status (observable entity)
160491006,Personal status (& marital) (observable entity)
65853000,Student (occupation)
56947008,Orphan (finding)
373929005,Orphan child (person)
78061006,Widower (finding)
160499008,Child of (finding)
160500004,Has stepmother (finding)
160501000,Has stepfather (finding)
160502007,Is a stepchild (finding)
160503002,Parent of (observable entity)
160504008,Marital state unknown (finding)
160505009,Common-law husband (person)
160506005,Common-law wife (person)
160507001,Abandoned child (finding)
160508006,Place in family order: youngest sibling (finding)
31114009,Place in family order: oldest sibling (finding)
30710002,Is an only child (finding)
7542004,Personal status (observable entity)
160511007,Personal status NOS (observable entity)
160717008,Divorced couple sharing house (finding)
63234004,"Divorce, life event (finding)"
160789002,Divorce (& problems) (finding)
276096003,"Divorce problems, life event (finding)"
160791005,"Divorce proceedings pending, life event (finding)"
160799007,(Has a prison record) or (released from prison) or (imprisonment record) (finding)
266944002,Has a prison record (finding)
278838006,Released from prison (finding)
54986009,Engaged to be married (finding)
105415009,Broken engagement (finding)
160803008,(Broken with partner) or (spouse left home) (finding)
266945001,Broken with partner (finding)
276129000,Spouse left home (finding)
22268004,Legal problem (finding)
160809007,Legal problem (& [separation] or [divorce]) (finding)
276094000,Legal problem with separation (finding)
276095004,Legal problem with divorce (finding)
160810002,Charged with crime (finding)
160815007,Pleads not guilty (finding)
160816008,Pleads guilty (finding)
160821006,Forged or altered prescription (finding)
105568001,In prison (finding)
160831004,(In prison) or (arrested in police custody) or (prison sentence) (finding)
276092001,Arrested in police custody (finding)
105509007,On probation (finding)
160832006,On remand (finding)
160859003,Imprisonment of family member (situation)
160860008,Husband in prison (situation)
160861007,Spouse arrested (situation)
160866002,Own child has been adopted (finding)
160870005,Child in care (finding)
160873007,Removed - child abuse register (finding)
160874001,"Child on ""at risk"" regist NOS (finding)"
224354005,Child on at risk register (finding)
160877008,Child at risk (finding)
160880009,Child deserted by parents (& [mother]) (finding)
266954003,Child deserted by parents (finding)
276098002,Child deserted by mother (finding)
160881008,Institutionalized childhood (finding)
160973006,([HIV] or [AIDS] risk lifestyle) or (multiple sexual partners) (finding)
225516002,Multiple sexual contacts (finding)
266974005,Human immunodeficiency virus risk lifestyle (finding)
161062006,Child abuse in family (situation)
51347003,Incest (event)
161073004,Incest (event)
161556007,History of male infertility (situation)
161762000,History of - abortion NOS (situation)
267014009,History of abortion (situation)
27034006,Fertility problem (finding)
162186008,Fertility problem (& [infertility]) (finding)
162596006,Suspected victim of child abuse (situation)
164029004,On examination - Argyll Robertson pupils (finding)
707998009,Assessment for termination of pregnancy (procedure)
768721000000107,Assessment for termination of pregnancy (procedure)
165779003,Syphilis infectious titre test (& [TPI] or [VDRL] or [Wassermann's]) (procedure)
165782008,Wassermann reaction (procedure)
252407006,Treponema pallidum immobilization test (procedure)
269828009,Syphilis infectious titer test (procedure)
275755000,Venereal Disease Research Laboratory titer measurement (procedure)
1015571000000106,Syphilis infectious titre test (observable entity)
1028721000000102,Wassermann reaction (observable entity)
165788007,Syphilis titre test: [NOS] or [TPHA] (procedure)
269828009,Syphilis infectious titer test (procedure)
269829001,Treponema pallidum hemaglutination test (procedure)
1015601000000104,Treponema pallidum haemagglutination test (observable entity)
22290004,(Hepatitis B test: (& [immunity] or [SH-antigen]) or (Australia antigen - SH) (procedure)
47758006,Hepatitis B surface antigen (substance)
165802000,Hepatitis B surface antigen measurement (procedure)
991971000000109,SH-antigen hepatitis B test (observable entity)
165803005,Blood sent: SH-antigen test (situation)
165804004,[Hepatitis B immune] or [hepatitis B antibody present] (procedure)
271511000,Hepatitis B immune (finding)
313234004,Hepatitis B antibody present (finding)
165805003,Serum hepatitis antigen negative (finding)
406010001,Hepatitis B surface antigen negative (finding)
165806002,Hepatitis B surface antigen positive (finding)
165807006,Hepatitis Be antigen present (finding)
165808001,Hepatitis B non-immune (finding)
47758006,Serum hepatitis antigen test NOS (procedure)
165812007,Hepatitis B surface antigen measurement (procedure)
165813002,Human immunodeficiency virus test (procedure)
1027831000000105,Human immunodeficiency virus test (observable entity)
165814008,Blood sent for human T-lymphotropic virus 3 serology (situation)
165815009,Human immunodeficiency virus negative (finding)
165816005,Human immunodeficiency virus positive (finding)
165817001,Human T-cell lymphotropic virus (HTLV) 3 antibody NOS (procedure)
250514000,Human immunodeficiency virus antibody titer measurement (procedure)
165829005,Gonorrhea infection titer test (procedure)
992041000000109,Gonorrhoea infection titre test (observable entity)
168326009,Anal swab culture negative (finding)
168343007,Urethral swab culture positive (finding)
168348003,High vaginal swab culture - trichomonas vaginalis (finding)
168359007,Penile swab taken (situation)
168361003,Penile swab culture positive (finding)
168417005,Cervical smear - trichomonas (finding)
168420002,Cervical smear: [wart virus] or [herpes] (finding)
168421003,Cervical smear - herpes (finding)
269964006,Cervical smear - wart virus (finding)
168421003,Cervical smear - herpes (finding)
169698000,Antenatal syphilis screening (procedure)
169699008,Antenatal syphilis screening not done (situation)
169700009,Antenatal syphilis screen-blood sent (situation)
169698000,Antenatal syphilis screening (procedure)
169701008,Antenatal syphilis screening NOS (finding)
170469000,Venereal disease contact (& [gonorrhoea] or [syphilis]) (procedure)
444376008,Exposure to Neisseria gonorrhoeae (event)
444380003,Exposure to Treponema pallidum (event)
464851000000107,[V]Contact with or exposure to venereal disease (situation)
170470004,Acquired immunodeficiency syndrome (AIDS) contact (finding)
444356002,Exposure to Human immunodeficiency virus (event)
170489004,Viral hepatitis carrier (finding)
170490008,Gonorrhea carrier (finding)
66598005,Venereal disease carrier NOS (finding)
170491007,Infectious disease carrier (finding)
699433000,Human immunodeficiency virus carrier (finding)
170530008,Notification of acquired immune deficiency syndrome (procedure)
176610008,Painting of vulval warts (procedure)
176843009,Gamete intrauterine transfer (procedure)
75456002,Embryo transfer (procedure)
176844003,Intracervical artificial insemination (procedure)
58533008,Artificial insemination: [intrauterine] or [NEC] (procedure)
176845002,Artificial insemination (procedure)
265064001,Intrauterine artificial insemination (procedure)
176843009,Other specified introduction of gamete into uterine cavity (procedure)
176847005,Gamete intrauterine transfer (procedure)
176843009,Introduction of gamete into uterine cavity NOS (procedure)
176848000,Gamete intrauterine transfer (procedure)
176849008,Introduction of abortifacient into uterine cavity (procedure)
176850008,Intra-amniotic prostaglandin instillation (procedure)
176849008,Introduction of abortifacient into uterine cavity (procedure)
176851007,Intra-amniotic injection of abortifacient NEC (procedure)
176852000,Extra-amniotic prostaglandin instillation (procedure)
176849008,Introduction of abortifacient into uterine cavity (procedure)
176853005,Extra-amniotic injection of abortifacient NEC (procedure)
176854004,Insertion of prostaglandin abortifacient suppository (procedure)
176855003,Insertion of abortifacient suppository NEC (procedure)
285434006,Insertion of abortifacient suppository (procedure)
176849008,Introduction of abortifacient into uterine cavity (procedure)
176856002,Other specified introduction of abortifacient into uterine cavity (procedure)
176849008,Introduction of abortifacient into uterine cavity (procedure)
176857006,Introduction of abortifacient into uterine cavity NOS (procedure)
176996001,Endoscopic intrafallopian transfer of gamete (procedure)
177037000,Oocyte recovery (procedure)
177037000,Other specified oocyte recovery (procedure)
177043003,Oocyte recovery (procedure)
177037000,Oocyte recovery NOS (procedure)
177044009,Oocyte recovery (procedure)
177095006,Early selective feticide (procedure)
177096007,Late selective feticide (procedure)
177097003,Selective feticide NEC (procedure)
265633004,Selective destruction of fetus (procedure)
177098008,Other specified selective destruction of fetus (procedure)
265633004,Selective destruction of fetus (procedure)
177099000,Selective destruction of fetus NOS (procedure)
265633004,Selective destruction of fetus (procedure)
906211000000103,Destruction of fetus (procedure)
906211000000103,Destruction of fetus (procedure)
906211000000103,Destruction of fetus (procedure)
24878005,Intersex surgery (procedure)
51427007,"Intersex surgery, male to female (procedure)"
42775008,"Intersex surgery, female to male (procedure)"
180059006,Excision of ovotestis (procedure)
24878005,Intersex surgery (procedure)
180060001,Other specified operation for sexual transformation (procedure)
24878005,Intersex surgery (procedure)
180061002,Operation for sexual transformation NOS (procedure)
65046005,Infertility therapy (procedure)
58533008,(Artificial insemination (& [by donor] or [by husband])) or (gamete intrafallopian transfer)
183035002,Artificial insemination (procedure)
236895005,Artificial insemination by husband (procedure)
236896006,Artificial insemination by donor (procedure)
236912008,Gamete intrafallopian transfer (procedure)
183036001,Female infertility therapy (procedure)
183037005,Male infertility therapy (procedure)
52637005,Infertility treatment: [NOS] or [in vitro fertilisation] (procedure)
65046005,Test tube ovum fertilization (procedure)
183038000,Infertility therapy (procedure)
183083004,Patient advised about the risks of human immunodeficiency virus (situation)
386394001,Pregnancy termination care (regime/therapy)
183606009,Referral for counseling for termination of pregnancy (procedure)
769411000000104,Self referral to termination of pregnancy service (procedure)
415262008,Referral for termination of pregnancy (procedure)
183905006,Private referral to venereologist (procedure)
184005004,Requests pregnancy termination (situation)
6731000000105,Therapeutic abortion form: [HSA1- green form] or [Form A] (administrative concept)
9391000000101,HSA1 therapeutic abortion green form (record artifact)
10641000000105,Form A - therapeutic abortion (record artifact)
5211000000103,Therapeutic abortion form status (finding)
13961000000108,HSA1 form status (finding)
185019006,Reason for termination of pregnancy (observable entity)
310506006,Reason for termination of pregnancy (observable entity)
